Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4499415434902791
75% Corpus,2,0.01,0.31,0.44994154349027915
75% Corpus,2,0.01,0.61,0.44994154349027915
75% Corpus,2,0.01,0.9099999999999999,0.43322704218391317
75% Corpus,2,0.01,symmetric,0.44994154349027915
75% Corpus,2,0.31,0.01,0.4404543410556745
75% Corpus,2,0.31,0.31,0.4404543410556745
75% Corpus,2,0.31,0.61,0.44994154349027915
75% Corpus,2,0.31,0.9099999999999999,0.44994154349027904
75% Corpus,2,0.31,symmetric,0.44994154349027915
75% Corpus,2,0.61,0.01,0.4404543410556745
75% Corpus,2,0.61,0.31,0.4404543410556745
75% Corpus,2,0.61,0.61,0.4404543410556745
75% Corpus,2,0.61,0.9099999999999999,0.4404543410556744
75% Corpus,2,0.61,symmetric,0.4404543410556745
75% Corpus,2,0.9099999999999999,0.01,0.4404543410556745
75% Corpus,2,0.9099999999999999,0.31,0.4513453256874861
75% Corpus,2,0.9099999999999999,0.61,0.4513453256874861
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.451345325687486
75% Corpus,2,0.9099999999999999,symmetric,0.4513453256874861
75% Corpus,2,symmetric,0.01,0.4404543410556745
75% Corpus,2,symmetric,0.31,0.4404543410556745
75% Corpus,2,symmetric,0.61,0.4404543410556745
75% Corpus,2,symmetric,0.9099999999999999,0.4404543410556745
75% Corpus,2,symmetric,symmetric,0.4404543410556745
75% Corpus,2,asymmetric,0.01,0.4404543410556744
75% Corpus,2,asymmetric,0.31,0.4404543410556744
75% Corpus,2,asymmetric,0.61,0.4404543410556744
75% Corpus,2,asymmetric,0.9099999999999999,0.4404543410556744
75% Corpus,2,asymmetric,symmetric,0.4404543410556744
75% Corpus,3,0.01,0.01,0.40820688452801385
75% Corpus,3,0.01,0.31,0.4127200383772525
75% Corpus,3,0.01,0.61,0.42751333637137484
75% Corpus,3,0.01,0.9099999999999999,0.4248421122464823
75% Corpus,3,0.01,symmetric,0.43182390326078496
75% Corpus,3,0.31,0.01,0.39068820755836137
75% Corpus,3,0.31,0.31,0.41191884444733634
75% Corpus,3,0.31,0.61,0.4223679766272535
75% Corpus,3,0.31,0.9099999999999999,0.42762805745293053
75% Corpus,3,0.31,symmetric,0.41642065463323324
75% Corpus,3,0.61,0.01,0.3992951879836113
75% Corpus,3,0.61,0.31,0.42296417355790167
75% Corpus,3,0.61,0.61,0.4538914115704717
75% Corpus,3,0.61,0.9099999999999999,0.4483581105248789
75% Corpus,3,0.61,symmetric,0.42296417355790167
75% Corpus,3,0.9099999999999999,0.01,0.45451857904866694
75% Corpus,3,0.9099999999999999,0.31,0.46466622513818284
75% Corpus,3,0.9099999999999999,0.61,0.455101447177682
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4502444971777504
75% Corpus,3,0.9099999999999999,symmetric,0.4455967028101933
75% Corpus,3,symmetric,0.01,0.39068820755836137
75% Corpus,3,symmetric,0.31,0.41637968469820946
75% Corpus,3,symmetric,0.61,0.43110728744707316
75% Corpus,3,symmetric,0.9099999999999999,0.4233174905635204
75% Corpus,3,symmetric,symmetric,0.41637968469820946
75% Corpus,3,asymmetric,0.01,0.3956857802889464
75% Corpus,3,asymmetric,0.31,0.3999307982410099
75% Corpus,3,asymmetric,0.61,0.38797285431931483
75% Corpus,3,asymmetric,0.9099999999999999,0.4121665149543497
75% Corpus,3,asymmetric,symmetric,0.3999307982410099
75% Corpus,4,0.01,0.01,0.40521288796878574
75% Corpus,4,0.01,0.31,0.4110861704229377
75% Corpus,4,0.01,0.61,0.42385692901957994
75% Corpus,4,0.01,0.9099999999999999,0.4095198316878128
75% Corpus,4,0.01,symmetric,0.4172655805320089
75% Corpus,4,0.31,0.01,0.4124966169845096
75% Corpus,4,0.31,0.31,0.40607295409634403
75% Corpus,4,0.31,0.61,0.42732557443969266
75% Corpus,4,0.31,0.9099999999999999,0.42732557443969277
75% Corpus,4,0.31,symmetric,0.4141826987763765
75% Corpus,4,0.61,0.01,0.42688818953173674
75% Corpus,4,0.61,0.31,0.4310660282389105
75% Corpus,4,0.61,0.61,0.4371602837798953
75% Corpus,4,0.61,0.9099999999999999,0.43218433181283067
75% Corpus,4,0.61,symmetric,0.428494683077294
75% Corpus,4,0.9099999999999999,0.01,0.44809877626677774
75% Corpus,4,0.9099999999999999,0.31,0.4340579773553679
75% Corpus,4,0.9099999999999999,0.61,0.439502609250513
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.43820219380870495
75% Corpus,4,0.9099999999999999,symmetric,0.4441728477334382
75% Corpus,4,symmetric,0.01,0.42016909970470206
75% Corpus,4,symmetric,0.31,0.4074889871986741
75% Corpus,4,symmetric,0.61,0.4021640646230696
75% Corpus,4,symmetric,0.9099999999999999,0.4143656877010735
75% Corpus,4,symmetric,symmetric,0.4074889871986741
75% Corpus,4,asymmetric,0.01,0.42717700851872653
75% Corpus,4,asymmetric,0.31,0.43851437852442354
75% Corpus,4,asymmetric,0.61,0.39964985600944186
75% Corpus,4,asymmetric,0.9099999999999999,0.40068492116307874
75% Corpus,4,asymmetric,symmetric,0.44214060922629855
75% Corpus,5,0.01,0.01,0.4302019704701642
75% Corpus,5,0.01,0.31,0.41864341045234915
75% Corpus,5,0.01,0.61,0.42336089264120214
75% Corpus,5,0.01,0.9099999999999999,0.42923432815969315
75% Corpus,5,0.01,symmetric,0.4214987670358107
75% Corpus,5,0.31,0.01,0.450896015302102
75% Corpus,5,0.31,0.31,0.4379155370731379
75% Corpus,5,0.31,0.61,0.4340863684380981
75% Corpus,5,0.31,0.9099999999999999,0.43783888355382716
75% Corpus,5,0.31,symmetric,0.4474089281259809
75% Corpus,5,0.61,0.01,0.42550174468462887
75% Corpus,5,0.61,0.31,0.43482459722646843
75% Corpus,5,0.61,0.61,0.4426620656971327
75% Corpus,5,0.61,0.9099999999999999,0.42072674012427597
75% Corpus,5,0.61,symmetric,0.4352058851444431
75% Corpus,5,0.9099999999999999,0.01,0.41264214875436894
75% Corpus,5,0.9099999999999999,0.31,0.4023254428378619
75% Corpus,5,0.9099999999999999,0.61,0.3986655421451649
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3994748200209969
75% Corpus,5,0.9099999999999999,symmetric,0.4044471436608415
75% Corpus,5,symmetric,0.01,0.4447271421763938
75% Corpus,5,symmetric,0.31,0.45353316956913875
