Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3041107221829639
75% Corpus,2,0.01,0.31,0.29485954972911443
75% Corpus,2,0.01,0.61,0.29485954972911443
75% Corpus,2,0.01,0.9099999999999999,0.3000012989419261
75% Corpus,2,0.01,symmetric,0.31347245183003036
75% Corpus,2,0.31,0.01,0.30342833966271754
75% Corpus,2,0.31,0.31,0.2999466570104783
75% Corpus,2,0.31,0.61,0.2999466570104783
75% Corpus,2,0.31,0.9099999999999999,0.29485954972911443
75% Corpus,2,0.31,symmetric,0.2999466570104783
75% Corpus,2,0.61,0.01,0.3096365020245798
75% Corpus,2,0.61,0.31,0.30272751780037965
75% Corpus,2,0.61,0.61,0.30272751780037965
75% Corpus,2,0.61,0.9099999999999999,0.29045516409012917
75% Corpus,2,0.61,symmetric,0.30272751780037965
75% Corpus,2,0.9099999999999999,0.01,0.32379552236779807
75% Corpus,2,0.9099999999999999,0.31,0.29989301328978024
75% Corpus,2,0.9099999999999999,0.61,0.2977554059429227
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.29775540594292266
75% Corpus,2,0.9099999999999999,symmetric,0.29948743220987417
75% Corpus,2,symmetric,0.01,0.2959821327002459
75% Corpus,2,symmetric,0.31,0.2959821327002459
75% Corpus,2,symmetric,0.61,0.2993858239387366
75% Corpus,2,symmetric,0.9099999999999999,0.29369524968063454
75% Corpus,2,symmetric,symmetric,0.30756897298848485
75% Corpus,2,asymmetric,0.01,0.2903452015800825
75% Corpus,2,asymmetric,0.31,0.27800867276479313
75% Corpus,2,asymmetric,0.61,0.29609366856855623
75% Corpus,2,asymmetric,0.9099999999999999,0.30040876451246235
75% Corpus,2,asymmetric,symmetric,0.29609366856855623
75% Corpus,3,0.01,0.01,0.2817859420176545
75% Corpus,3,0.01,0.31,0.31991403080402814
75% Corpus,3,0.01,0.61,0.32210210209915263
75% Corpus,3,0.01,0.9099999999999999,0.35357431102879605
75% Corpus,3,0.01,symmetric,0.3199140308040282
75% Corpus,3,0.31,0.01,0.3140287381858799
75% Corpus,3,0.31,0.31,0.31551186800026526
75% Corpus,3,0.31,0.61,0.32624837702400816
75% Corpus,3,0.31,0.9099999999999999,0.32327747745361896
75% Corpus,3,0.31,symmetric,0.31551186800026526
75% Corpus,3,0.61,0.01,0.34432722000560023
75% Corpus,3,0.61,0.31,0.33896081405818396
75% Corpus,3,0.61,0.61,0.3418067489474727
75% Corpus,3,0.61,0.9099999999999999,0.3576973538441457
75% Corpus,3,0.61,symmetric,0.33896081405818396
75% Corpus,3,0.9099999999999999,0.01,0.3416207442378161
75% Corpus,3,0.9099999999999999,0.31,0.3636469947392844
75% Corpus,3,0.9099999999999999,0.61,0.3636469947392844
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3552758320594793
75% Corpus,3,0.9099999999999999,symmetric,0.3636469947392844
75% Corpus,3,symmetric,0.01,0.3106685653562346
