Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.22821919088023546
75% Corpus,2,0.01,0.31,0.23658574512395147
75% Corpus,2,0.01,0.61,0.23658574512395147
75% Corpus,2,0.01,0.9099999999999999,0.23658574512395147
75% Corpus,2,0.01,symmetric,0.23658574512395147
75% Corpus,2,0.31,0.01,0.24259038015774553
75% Corpus,2,0.31,0.31,0.2401499225334016
75% Corpus,2,0.31,0.61,0.2401499225334016
75% Corpus,2,0.31,0.9099999999999999,0.22821919088023543
75% Corpus,2,0.31,symmetric,0.2401499225334016
75% Corpus,2,0.61,0.01,0.24683410751014576
75% Corpus,2,0.61,0.31,0.23048447106499848
75% Corpus,2,0.61,0.61,0.23048447106499848
75% Corpus,2,0.61,0.9099999999999999,0.2304844710649985
75% Corpus,2,0.61,symmetric,0.23048447106499848
75% Corpus,2,0.9099999999999999,0.01,0.23145845732147316
75% Corpus,2,0.9099999999999999,0.31,0.23145845732147313
75% Corpus,2,0.9099999999999999,0.61,0.23145845732147313
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.23145845732147313
75% Corpus,2,0.9099999999999999,symmetric,0.23145845732147316
75% Corpus,2,symmetric,0.01,0.23048447106499848
75% Corpus,2,symmetric,0.31,0.23048447106499848
75% Corpus,2,symmetric,0.61,0.23048447106499848
75% Corpus,2,symmetric,0.9099999999999999,0.2304844710649985
75% Corpus,2,symmetric,symmetric,0.2304844710649985
75% Corpus,2,asymmetric,0.01,0.26815482159861903
75% Corpus,2,asymmetric,0.31,0.26051784143793755
75% Corpus,2,asymmetric,0.61,0.2591885302813921
75% Corpus,2,asymmetric,0.9099999999999999,0.22856403424558186
75% Corpus,2,asymmetric,symmetric,0.2591885302813921
75% Corpus,3,0.01,0.01,0.2553549149807226
75% Corpus,3,0.01,0.31,0.24240421061655812
75% Corpus,3,0.01,0.61,0.21908423533700483
75% Corpus,3,0.01,0.9099999999999999,0.23412507123227835
75% Corpus,3,0.01,symmetric,0.23981165605712965
75% Corpus,3,0.31,0.01,0.2763733250295939
75% Corpus,3,0.31,0.31,0.2763419874892557
75% Corpus,3,0.31,0.61,0.27597499021022254
75% Corpus,3,0.31,0.9099999999999999,0.2820337640685448
75% Corpus,3,0.31,symmetric,0.2763419874892557
75% Corpus,3,0.61,0.01,0.26199888754539785
75% Corpus,3,0.61,0.31,0.27826888005484923
75% Corpus,3,0.61,0.61,0.2562747309287546
75% Corpus,3,0.61,0.9099999999999999,0.26610227530401254
75% Corpus,3,0.61,symmetric,0.2782688800548493
75% Corpus,3,0.9099999999999999,0.01,0.2700471133576848
75% Corpus,3,0.9099999999999999,0.31,0.2553075763289176
75% Corpus,3,0.9099999999999999,0.61,0.26027902037407324
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2585288450361692
75% Corpus,3,0.9099999999999999,symmetric,0.2553075763289176
75% Corpus,3,symmetric,0.01,0.2763733250295939
75% Corpus,3,symmetric,0.31,0.2763419874892557
75% Corpus,3,symmetric,0.61,0.2782750898490193
75% Corpus,3,symmetric,0.9099999999999999,0.26322798410625187
75% Corpus,3,symmetric,symmetric,0.27103823931301113
75% Corpus,3,asymmetric,0.01,0.27219978259165206
75% Corpus,3,asymmetric,0.31,0.25329404882044804
75% Corpus,3,asymmetric,0.61,0.25345826608047267
75% Corpus,3,asymmetric,0.9099999999999999,0.2583404461926205
75% Corpus,3,asymmetric,symmetric,0.25329404882044804
75% Corpus,4,0.01,0.01,0.2786533281903792
75% Corpus,4,0.01,0.31,0.27573790039728613
75% Corpus,4,0.01,0.61,0.2925629405094532
75% Corpus,4,0.01,0.9099999999999999,0.27864185756076976
75% Corpus,4,0.01,symmetric,0.26911833336566415
75% Corpus,4,0.31,0.01,0.27709469555096056
75% Corpus,4,0.31,0.31,0.3030193028706001
75% Corpus,4,0.31,0.61,0.290479668584571
75% Corpus,4,0.31,0.9099999999999999,0.29267496788339076
75% Corpus,4,0.31,symmetric,0.27742157261799977
75% Corpus,4,0.61,0.01,0.30021309987589534
75% Corpus,4,0.61,0.31,0.2886970039842066
75% Corpus,4,0.61,0.61,0.287182976014665
75% Corpus,4,0.61,0.9099999999999999,0.27780610124162697
75% Corpus,4,0.61,symmetric,0.2888013907863825
75% Corpus,4,0.9099999999999999,0.01,0.28585530557933564
75% Corpus,4,0.9099999999999999,0.31,0.2875028819827402
75% Corpus,4,0.9099999999999999,0.61,0.28626507909680066
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.28505432605080133
75% Corpus,4,0.9099999999999999,symmetric,0.28824746560249237
75% Corpus,4,symmetric,0.01,0.2917479370052899
75% Corpus,4,symmetric,0.31,0.28260966071550386
75% Corpus,4,symmetric,0.61,0.29128256631738636
75% Corpus,4,symmetric,0.9099999999999999,0.28746306734860305
75% Corpus,4,symmetric,symmetric,0.28503969749607405
75% Corpus,4,asymmetric,0.01,0.303043493473694
75% Corpus,4,asymmetric,0.31,0.2776678073623768
75% Corpus,4,asymmetric,0.61,0.27982368138387115
75% Corpus,4,asymmetric,0.9099999999999999,0.25336456450144007
75% Corpus,4,asymmetric,symmetric,0.2761948666836701
75% Corpus,5,0.01,0.01,0.2792315697601001
75% Corpus,5,0.01,0.31,0.29195396268946466
75% Corpus,5,0.01,0.61,0.28150076715247835
75% Corpus,5,0.01,0.9099999999999999,0.2780385513548934
75% Corpus,5,0.01,symmetric,0.30299023197123864
75% Corpus,5,0.31,0.01,0.28332400606228425
75% Corpus,5,0.31,0.31,0.2736302657836541
75% Corpus,5,0.31,0.61,0.2950260296128665
75% Corpus,5,0.31,0.9099999999999999,0.29469430390516926
75% Corpus,5,0.31,symmetric,0.28495615907801186
