Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4821573098457248
75% Corpus,2,0.01,0.31,0.4754053040149704
75% Corpus,2,0.01,0.61,0.4754053040149704
75% Corpus,2,0.01,0.9099999999999999,0.4754053040149704
75% Corpus,2,0.01,symmetric,0.4754053040149704
75% Corpus,2,0.31,0.01,0.471686022349845
75% Corpus,2,0.31,0.31,0.4754053040149703
75% Corpus,2,0.31,0.61,0.4754053040149703
75% Corpus,2,0.31,0.9099999999999999,0.4754053040149704
75% Corpus,2,0.31,symmetric,0.4754053040149703
75% Corpus,2,0.61,0.01,0.45855934215682637
75% Corpus,2,0.61,0.31,0.45855934215682637
75% Corpus,2,0.61,0.61,0.46230377611805207
75% Corpus,2,0.61,0.9099999999999999,0.4623037761180522
75% Corpus,2,0.61,symmetric,0.46230377611805207
75% Corpus,2,0.9099999999999999,0.01,0.45855934215682637
75% Corpus,2,0.9099999999999999,0.31,0.45855934215682637
75% Corpus,2,0.9099999999999999,0.61,0.45855934215682637
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.45855934215682637
75% Corpus,2,0.9099999999999999,symmetric,0.45855934215682637
75% Corpus,2,symmetric,0.01,0.47168602234984497
75% Corpus,2,symmetric,0.31,0.47168602234984497
75% Corpus,2,symmetric,0.61,0.47540530401497044
75% Corpus,2,symmetric,0.9099999999999999,0.47540530401497044
75% Corpus,2,symmetric,symmetric,0.47540530401497044
75% Corpus,2,asymmetric,0.01,0.4897735453927808
75% Corpus,2,asymmetric,0.31,0.49442062387220986
75% Corpus,2,asymmetric,0.61,0.49442062387220986
75% Corpus,2,asymmetric,0.9099999999999999,0.4944206238722098
75% Corpus,2,asymmetric,symmetric,0.49442062387220986
75% Corpus,3,0.01,0.01,0.4601904248698985
75% Corpus,3,0.01,0.31,0.47236041880099616
75% Corpus,3,0.01,0.61,0.4528940399536818
75% Corpus,3,0.01,0.9099999999999999,0.4415437426471442
75% Corpus,3,0.01,symmetric,0.462280160682002
75% Corpus,3,0.31,0.01,0.4528578215606198
75% Corpus,3,0.31,0.31,0.4669920115733732
75% Corpus,3,0.31,0.61,0.4631492596896447
75% Corpus,3,0.31,0.9099999999999999,0.4690695901017498
75% Corpus,3,0.31,symmetric,0.4528578215606198
75% Corpus,3,0.61,0.01,0.43415452038111707
