Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3154633226024923
75% Corpus,2,0.01,0.31,0.3154633226024924
75% Corpus,2,0.01,0.61,0.31001014967343854
75% Corpus,2,0.01,0.9099999999999999,0.31447422473501313
75% Corpus,2,0.01,symmetric,0.3154633226024923
75% Corpus,2,0.31,0.01,0.311356342637466
75% Corpus,2,0.31,0.31,0.3154633226024923
75% Corpus,2,0.31,0.61,0.31001014967343854
75% Corpus,2,0.31,0.9099999999999999,0.3154633226024923
75% Corpus,2,0.31,symmetric,0.31001014967343854
75% Corpus,2,0.61,0.01,0.31135634263746603
75% Corpus,2,0.61,0.31,0.3137285998770139
75% Corpus,2,0.61,0.61,0.3137285998770139
75% Corpus,2,0.61,0.9099999999999999,0.34026492073134196
75% Corpus,2,0.61,symmetric,0.3137285998770139
75% Corpus,2,0.9099999999999999,0.01,0.33254069280849896
75% Corpus,2,0.9099999999999999,0.31,0.34026492073134196
75% Corpus,2,0.9099999999999999,0.61,0.34026492073134196
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.34026492073134196
75% Corpus,2,0.9099999999999999,symmetric,0.34026492073134196
75% Corpus,2,symmetric,0.01,0.31135634263746603
75% Corpus,2,symmetric,0.31,0.31135634263746603
75% Corpus,2,symmetric,0.61,0.31372859987701385
75% Corpus,2,symmetric,0.9099999999999999,0.3154633226024923
75% Corpus,2,symmetric,symmetric,0.31372859987701385
75% Corpus,2,asymmetric,0.01,0.31260229291816377
75% Corpus,2,asymmetric,0.31,0.31260229291816377
75% Corpus,2,asymmetric,0.61,0.33180460393537947
75% Corpus,2,asymmetric,0.9099999999999999,0.3205264257530207
75% Corpus,2,asymmetric,symmetric,0.31312308469380407
75% Corpus,3,0.01,0.01,0.3509595202021669
75% Corpus,3,0.01,0.31,0.35172773418351455
75% Corpus,3,0.01,0.61,0.37473625909515734
75% Corpus,3,0.01,0.9099999999999999,0.3560287403976796
75% Corpus,3,0.01,symmetric,0.2974580099166822
75% Corpus,3,0.31,0.01,0.32408568179945235
75% Corpus,3,0.31,0.31,0.3215540471459757
75% Corpus,3,0.31,0.61,0.32899128115451975
75% Corpus,3,0.31,0.9099999999999999,0.3375194232994005
75% Corpus,3,0.31,symmetric,0.32168614510385296
75% Corpus,3,0.61,0.01,0.3408032430077032
75% Corpus,3,0.61,0.31,0.3470799592752227
75% Corpus,3,0.61,0.61,0.33866976684109856
75% Corpus,3,0.61,0.9099999999999999,0.33866976684109856
75% Corpus,3,0.61,symmetric,0.34707995927522267
75% Corpus,3,0.9099999999999999,0.01,0.3612589636862022
75% Corpus,3,0.9099999999999999,0.31,0.35533448457056566
75% Corpus,3,0.9099999999999999,0.61,0.3684874777595472
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.378886040176644
75% Corpus,3,0.9099999999999999,symmetric,0.3651712461019085
75% Corpus,3,symmetric,0.01,0.3256084289935013
75% Corpus,3,symmetric,0.31,0.3256084289935013
75% Corpus,3,symmetric,0.61,0.32168614510385296
75% Corpus,3,symmetric,0.9099999999999999,0.32899128115451987
75% Corpus,3,symmetric,symmetric,0.3289912811545198
75% Corpus,3,asymmetric,0.01,0.30675842642281526
75% Corpus,3,asymmetric,0.31,0.332556429636321
75% Corpus,3,asymmetric,0.61,0.3206566871763316
75% Corpus,3,asymmetric,0.9099999999999999,0.3369684037305021
75% Corpus,3,asymmetric,symmetric,0.3325564296363209
75% Corpus,4,0.01,0.01,0.32045104020650533
75% Corpus,4,0.01,0.31,0.32656989850888674
75% Corpus,4,0.01,0.61,0.33205777819938465
75% Corpus,4,0.01,0.9099999999999999,0.3520018190543216
75% Corpus,4,0.01,symmetric,0.3459048336613357
75% Corpus,4,0.31,0.01,0.33411954716963305
75% Corpus,4,0.31,0.31,0.3159839154898437
