Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.25877070416145476
75% Corpus,2,0.01,0.31,0.25877070416145476
75% Corpus,2,0.01,0.61,0.27942438590472674
75% Corpus,2,0.01,0.9099999999999999,0.3004030249695898
75% Corpus,2,0.01,symmetric,0.27942438590472674
75% Corpus,2,0.31,0.01,0.27252355990793364
75% Corpus,2,0.31,0.31,0.27252355990793364
75% Corpus,2,0.31,0.61,0.290075745231979
75% Corpus,2,0.31,0.9099999999999999,0.306165684043162
75% Corpus,2,0.31,symmetric,0.2725235599079336
75% Corpus,2,0.61,0.01,0.29287675774681377
75% Corpus,2,0.61,0.31,0.26030933011397567
75% Corpus,2,0.61,0.61,0.28567022979358103
75% Corpus,2,0.61,0.9099999999999999,0.26556548577919387
75% Corpus,2,0.61,symmetric,0.26030933011397567
75% Corpus,2,0.9099999999999999,0.01,0.3042476212128209
75% Corpus,2,0.9099999999999999,0.31,0.29716443295017636
75% Corpus,2,0.9099999999999999,0.61,0.31927225596071185
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3218482586019766
75% Corpus,2,0.9099999999999999,symmetric,0.3149160907491474
75% Corpus,2,symmetric,0.01,0.2603093301139756
75% Corpus,2,symmetric,0.31,0.2603093301139756
75% Corpus,2,symmetric,0.61,0.277509574765486
75% Corpus,2,symmetric,0.9099999999999999,0.277509574765486
75% Corpus,2,symmetric,symmetric,0.2603093301139756
75% Corpus,2,asymmetric,0.01,0.267511696308771
75% Corpus,2,asymmetric,0.31,0.27545251960968925
75% Corpus,2,asymmetric,0.61,0.26994978056352636
75% Corpus,2,asymmetric,0.9099999999999999,0.2684917314010346
75% Corpus,2,asymmetric,symmetric,0.26994978056352636
75% Corpus,3,0.01,0.01,0.2877539514791215
75% Corpus,3,0.01,0.31,0.29830786164150586
75% Corpus,3,0.01,0.61,0.2997043128375437
75% Corpus,3,0.01,0.9099999999999999,0.2885934724967555
75% Corpus,3,0.01,symmetric,0.29830786164150586
75% Corpus,3,0.31,0.01,0.2881454911014001
75% Corpus,3,0.31,0.31,0.3068952427848383
75% Corpus,3,0.31,0.61,0.3102183212406377
75% Corpus,3,0.31,0.9099999999999999,0.30022746265898115
75% Corpus,3,0.31,symmetric,0.3068952427848383
75% Corpus,3,0.61,0.01,0.31266110841418443
75% Corpus,3,0.61,0.31,0.3047211296644077
75% Corpus,3,0.61,0.61,0.3012543962561279
75% Corpus,3,0.61,0.9099999999999999,0.305858469596847
75% Corpus,3,0.61,symmetric,0.3012543962561279
75% Corpus,3,0.9099999999999999,0.01,0.295564053514844
75% Corpus,3,0.9099999999999999,0.31,0.3044585579231979
75% Corpus,3,0.9099999999999999,0.61,0.30250473978380893
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.30250473978380893
75% Corpus,3,0.9099999999999999,symmetric,0.3044585579231979
75% Corpus,3,symmetric,0.01,0.2913864291693943
75% Corpus,3,symmetric,0.31,0.2989133270438578
75% Corpus,3,symmetric,0.61,0.31866971723968196
75% Corpus,3,symmetric,0.9099999999999999,0.29571031210830473
75% Corpus,3,symmetric,symmetric,0.31373123897162014
75% Corpus,3,asymmetric,0.01,0.26747106407958804
75% Corpus,3,asymmetric,0.31,0.28625527769781406
75% Corpus,3,asymmetric,0.61,0.2624657068793433
75% Corpus,3,asymmetric,0.9099999999999999,0.2602777015549575
75% Corpus,3,asymmetric,symmetric,0.2836786008333769
75% Corpus,4,0.01,0.01,0.29085552880642146
75% Corpus,4,0.01,0.31,0.28572657403258883
75% Corpus,4,0.01,0.61,0.3039174690009057
75% Corpus,4,0.01,0.9099999999999999,0.3089691474724381
75% Corpus,4,0.01,symmetric,0.2874365610909929
75% Corpus,4,0.31,0.01,0.2998300174035018
75% Corpus,4,0.31,0.31,0.28858841170837507
75% Corpus,4,0.31,0.61,0.29040944230523813
75% Corpus,4,0.31,0.9099999999999999,0.30890133330140424
75% Corpus,4,0.31,symmetric,0.28858841170837507
75% Corpus,4,0.61,0.01,0.28801765455867834
75% Corpus,4,0.61,0.31,0.28838667168774557
75% Corpus,4,0.61,0.61,0.3059256009426034
75% Corpus,4,0.61,0.9099999999999999,0.3018511243627148
75% Corpus,4,0.61,symmetric,0.28801765455867834
75% Corpus,4,0.9099999999999999,0.01,0.2989921229410759
75% Corpus,4,0.9099999999999999,0.31,0.29843805343515123
75% Corpus,4,0.9099999999999999,0.61,0.2971219038908275
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.29146424567342466
75% Corpus,4,0.9099999999999999,symmetric,0.29843805343515123
75% Corpus,4,symmetric,0.01,0.2998300174035018
75% Corpus,4,symmetric,0.31,0.29830422831327025
75% Corpus,4,symmetric,0.61,0.2957936062888913
75% Corpus,4,symmetric,0.9099999999999999,0.2952052141589807
75% Corpus,4,symmetric,symmetric,0.29983744479550994
75% Corpus,4,asymmetric,0.01,0.2706729524903593
75% Corpus,4,asymmetric,0.31,0.2563479226825777
75% Corpus,4,asymmetric,0.61,0.2701617497204588
75% Corpus,4,asymmetric,0.9099999999999999,0.27817620376672414
75% Corpus,4,asymmetric,symmetric,0.2561834533755615
75% Corpus,5,0.01,0.01,0.309492218375076
75% Corpus,5,0.01,0.31,0.3036075833203776
75% Corpus,5,0.01,0.61,0.3149986774370871
75% Corpus,5,0.01,0.9099999999999999,0.32229014174185056
75% Corpus,5,0.01,symmetric,0.30713363119659365
75% Corpus,5,0.31,0.01,0.3004428233448955
75% Corpus,5,0.31,0.31,0.31233378591139943
75% Corpus,5,0.31,0.61,0.3146539638625686
75% Corpus,5,0.31,0.9099999999999999,0.3232164526543474
75% Corpus,5,0.31,symmetric,0.30934360814817913
75% Corpus,5,0.61,0.01,0.2907504419519313
75% Corpus,5,0.61,0.31,0.2888311194456672
75% Corpus,5,0.61,0.61,0.28546457622187027
75% Corpus,5,0.61,0.9099999999999999,0.28546457622187027
75% Corpus,5,0.61,symmetric,0.2874191215520279
75% Corpus,5,0.9099999999999999,0.01,0.2846033206165733
