Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.44073241032589217
75% Corpus,2,0.01,0.31,0.40723527436891915
75% Corpus,2,0.01,0.61,0.4237023203519339
75% Corpus,2,0.01,0.9099999999999999,0.42975197718259367
75% Corpus,2,0.01,symmetric,0.4085713106260957
75% Corpus,2,0.31,0.01,0.417350938431567
75% Corpus,2,0.31,0.31,0.4144509183509536
75% Corpus,2,0.31,0.61,0.38892085446186203
75% Corpus,2,0.31,0.9099999999999999,0.388920854461862
75% Corpus,2,0.31,symmetric,0.38892085446186203
75% Corpus,2,0.61,0.01,0.41735093843156695
75% Corpus,2,0.61,0.31,0.41735093843156695
75% Corpus,2,0.61,0.61,0.388920854461862
75% Corpus,2,0.61,0.9099999999999999,0.388920854461862
75% Corpus,2,0.61,symmetric,0.388920854461862
75% Corpus,2,0.9099999999999999,0.01,0.38638401676240597
75% Corpus,2,0.9099999999999999,0.31,0.388920854461862
75% Corpus,2,0.9099999999999999,0.61,0.3994100004469653
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3994100004469653
75% Corpus,2,0.9099999999999999,symmetric,0.3846017744725748
75% Corpus,2,symmetric,0.01,0.417350938431567
75% Corpus,2,symmetric,0.31,0.41735093843156695
75% Corpus,2,symmetric,0.61,0.3889208544618619
75% Corpus,2,symmetric,0.9099999999999999,0.388920854461862
75% Corpus,2,symmetric,symmetric,0.388920854461862
75% Corpus,2,asymmetric,0.01,0.42130827922541725
75% Corpus,2,asymmetric,0.31,0.41155166179801383
75% Corpus,2,asymmetric,0.61,0.47543809277075905
75% Corpus,2,asymmetric,0.9099999999999999,0.46290582414110304
75% Corpus,2,asymmetric,symmetric,0.4115516617980137
75% Corpus,3,0.01,0.01,0.3864137164794534
75% Corpus,3,0.01,0.31,0.41654445622231817
75% Corpus,3,0.01,0.61,0.4093700211978744
75% Corpus,3,0.01,0.9099999999999999,0.4433980355627047
75% Corpus,3,0.01,symmetric,0.40842328016204776
75% Corpus,3,0.31,0.01,0.3962240813903757
75% Corpus,3,0.31,0.31,0.4256545134520702
75% Corpus,3,0.31,0.61,0.4548650601469937
75% Corpus,3,0.31,0.9099999999999999,0.4548650601469937
75% Corpus,3,0.31,symmetric,0.42789821777837317
75% Corpus,3,0.61,0.01,0.4469664423232347
75% Corpus,3,0.61,0.31,0.44218060833246486
75% Corpus,3,0.61,0.61,0.45069589725324416
75% Corpus,3,0.61,0.9099999999999999,0.4572311754298359
75% Corpus,3,0.61,symmetric,0.44431722404749313
75% Corpus,3,0.9099999999999999,0.01,0.45781928129318006
75% Corpus,3,0.9099999999999999,0.31,0.4368426419094904
75% Corpus,3,0.9099999999999999,0.61,0.4422730680170326
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4488031243240688
75% Corpus,3,0.9099999999999999,symmetric,0.4368426419094904
75% Corpus,3,symmetric,0.01,0.399279206245063
75% Corpus,3,symmetric,0.31,0.4256545134520702
75% Corpus,3,symmetric,0.61,0.4727790912491203
75% Corpus,3,symmetric,0.9099999999999999,0.4727790912491203
75% Corpus,3,symmetric,symmetric,0.4256545134520702
75% Corpus,3,asymmetric,0.01,0.44710866176785596
75% Corpus,3,asymmetric,0.31,0.472275519162803
75% Corpus,3,asymmetric,0.61,0.46882670953468136
75% Corpus,3,asymmetric,0.9099999999999999,0.47077591421592785
75% Corpus,3,asymmetric,symmetric,0.472275519162803
75% Corpus,4,0.01,0.01,0.4019110039371348
75% Corpus,4,0.01,0.31,0.40167856447090555
75% Corpus,4,0.01,0.61,0.4294580441085716
75% Corpus,4,0.01,0.9099999999999999,0.404037116901009
75% Corpus,4,0.01,symmetric,0.3881665795323147
75% Corpus,4,0.31,0.01,0.42864707372976235
75% Corpus,4,0.31,0.31,0.43738058810251434
75% Corpus,4,0.31,0.61,0.43511010411555906
75% Corpus,4,0.31,0.9099999999999999,0.4358777653941217
75% Corpus,4,0.31,symmetric,0.43738058810251434
75% Corpus,4,0.61,0.01,0.43710939121307657
75% Corpus,4,0.61,0.31,0.4279956459583118
75% Corpus,4,0.61,0.61,0.4302288186939456
75% Corpus,4,0.61,0.9099999999999999,0.4411536195034556
75% Corpus,4,0.61,symmetric,0.42132327720540025
75% Corpus,4,0.9099999999999999,0.01,0.4306310358328902
75% Corpus,4,0.9099999999999999,0.31,0.4402629311912709
75% Corpus,4,0.9099999999999999,0.61,0.43470041462991493
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.43295692722144485
75% Corpus,4,0.9099999999999999,symmetric,0.43301210727453954
75% Corpus,4,symmetric,0.01,0.4016988591716156
75% Corpus,4,symmetric,0.31,0.43103264358244275
75% Corpus,4,symmetric,0.61,0.44237734957612573
75% Corpus,4,symmetric,0.9099999999999999,0.4317846841477209
75% Corpus,4,symmetric,symmetric,0.4357598037252001
75% Corpus,4,asymmetric,0.01,0.42363378196359347
75% Corpus,4,asymmetric,0.31,0.4306281876943339
75% Corpus,4,asymmetric,0.61,0.4480709087865875
75% Corpus,4,asymmetric,0.9099999999999999,0.38787739474367616
75% Corpus,4,asymmetric,symmetric,0.4306281876943339
75% Corpus,5,0.01,0.01,0.401883090195193
75% Corpus,5,0.01,0.31,0.3512338522844762
75% Corpus,5,0.01,0.61,0.3665777873307884
75% Corpus,5,0.01,0.9099999999999999,0.3592457465573703
75% Corpus,5,0.01,symmetric,0.3974425546521411
75% Corpus,5,0.31,0.01,0.3761572181931178
75% Corpus,5,0.31,0.31,0.36443122931864314
75% Corpus,5,0.31,0.61,0.3602947142532117
75% Corpus,5,0.31,0.9099999999999999,0.3450493336336836
75% Corpus,5,0.31,symmetric,0.3718007607620781
75% Corpus,5,0.61,0.01,0.3931871335793771
75% Corpus,5,0.61,0.31,0.40696801016230655
75% Corpus,5,0.61,0.61,0.4064525575962348
75% Corpus,5,0.61,0.9099999999999999,0.40124118240929885
75% Corpus,5,0.61,symmetric,0.40696801016230655
75% Corpus,5,0.9099999999999999,0.01,0.4243486886746849
75% Corpus,5,0.9099999999999999,0.31,0.4341356450835553
75% Corpus,5,0.9099999999999999,0.61,0.4382756224310002
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4430719779311853
75% Corpus,5,0.9099999999999999,symmetric,0.4247590562068989
75% Corpus,5,symmetric,0.01,0.3789841682319749
75% Corpus,5,symmetric,0.31,0.36275594619992885
75% Corpus,5,symmetric,0.61,0.35216322401311667
75% Corpus,5,symmetric,0.9099999999999999,0.3401730607032213
75% Corpus,5,symmetric,symmetric,0.38161261917868283
75% Corpus,5,asymmetric,0.01,0.4289024591287126
75% Corpus,5,asymmetric,0.31,0.41635073239655573
75% Corpus,5,asymmetric,0.61,0.4599377442191061
75% Corpus,5,asymmetric,0.9099999999999999,0.4455592218694483
75% Corpus,5,asymmetric,symmetric,0.42255923698450887
75% Corpus,6,0.01,0.01,0.39669998846279814
75% Corpus,6,0.01,0.31,0.3722658313785366
75% Corpus,6,0.01,0.61,0.4507927669808168
75% Corpus,6,0.01,0.9099999999999999,0.4421738368502155
75% Corpus,6,0.01,symmetric,0.4167535330043544
75% Corpus,6,0.31,0.01,0.3817249480852423
75% Corpus,6,0.31,0.31,0.4119893229196332
75% Corpus,6,0.31,0.61,0.4198980327022131
75% Corpus,6,0.31,0.9099999999999999,0.4127440307245002
75% Corpus,6,0.31,symmetric,0.38651236439892606
75% Corpus,6,0.61,0.01,0.40179487247517814
75% Corpus,6,0.61,0.31,0.42202651977688665
75% Corpus,6,0.61,0.61,0.4266738602775124
75% Corpus,6,0.61,0.9099999999999999,0.43584586881491666
75% Corpus,6,0.61,symmetric,0.3974304728622582
75% Corpus,6,0.9099999999999999,0.01,0.4017542567286006
75% Corpus,6,0.9099999999999999,0.31,0.43244210053671983
75% Corpus,6,0.9099999999999999,0.61,0.4576863372218855
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4566241532408797
75% Corpus,6,0.9099999999999999,symmetric,0.40666175575722524
75% Corpus,6,symmetric,0.01,0.40678185064252137
75% Corpus,6,symmetric,0.31,0.4063313477642038
75% Corpus,6,symmetric,0.61,0.43657999097954886
75% Corpus,6,symmetric,0.9099999999999999,0.4520860705064951
75% Corpus,6,symmetric,symmetric,0.3891565692984025
75% Corpus,6,asymmetric,0.01,0.4244315463944727
75% Corpus,6,asymmetric,0.31,0.4364001541677544
75% Corpus,6,asymmetric,0.61,0.47928674495009677
75% Corpus,6,asymmetric,0.9099999999999999,0.4845210258818086
75% Corpus,6,asymmetric,symmetric,0.4039543063754705
75% Corpus,7,0.01,0.01,0.42906758588786714
75% Corpus,7,0.01,0.31,0.40418510889993026
75% Corpus,7,0.01,0.61,0.4178781198151403
75% Corpus,7,0.01,0.9099999999999999,0.40622843497114347
75% Corpus,7,0.01,symmetric,0.42935284512214716
75% Corpus,7,0.31,0.01,0.4020442543766433
75% Corpus,7,0.31,0.31,0.3866139075001961
75% Corpus,7,0.31,0.61,0.3774231470073165
75% Corpus,7,0.31,0.9099999999999999,0.39128621339840713
75% Corpus,7,0.31,symmetric,0.381365493930196
75% Corpus,7,0.61,0.01,0.41337837486293566
75% Corpus,7,0.61,0.31,0.4087762553188946
75% Corpus,7,0.61,0.61,0.40349401048010547
75% Corpus,7,0.61,0.9099999999999999,0.4245503329158528
75% Corpus,7,0.61,symmetric,0.4121349021585631
75% Corpus,7,0.9099999999999999,0.01,0.4266762310790703
75% Corpus,7,0.9099999999999999,0.31,0.4231821344358923
