Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.32312678733448874
75% Corpus,2,0.01,0.31,0.32746951787481754
75% Corpus,2,0.01,0.61,0.3274695178748176
75% Corpus,2,0.01,0.9099999999999999,0.3274695178748176
75% Corpus,2,0.01,symmetric,0.3274695178748175
75% Corpus,2,0.31,0.01,0.34500511883138646
75% Corpus,2,0.31,0.31,0.3221915443161633
75% Corpus,2,0.31,0.61,0.32219154431616337
75% Corpus,2,0.31,0.9099999999999999,0.3274695178748175
75% Corpus,2,0.31,symmetric,0.32219154431616337
75% Corpus,2,0.61,0.01,0.32175694526922605
75% Corpus,2,0.61,0.31,0.32679882183771075
75% Corpus,2,0.61,0.61,0.32679882183771075
75% Corpus,2,0.61,0.9099999999999999,0.3246717070038424
75% Corpus,2,0.61,symmetric,0.32679882183771075
75% Corpus,2,0.9099999999999999,0.01,0.3204609719172092
75% Corpus,2,0.9099999999999999,0.31,0.33399844465168294
75% Corpus,2,0.9099999999999999,0.61,0.33296681345787105
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3329668134578711
75% Corpus,2,0.9099999999999999,symmetric,0.33399844465168294
75% Corpus,2,symmetric,0.01,0.32175694526922605
75% Corpus,2,symmetric,0.31,0.3145573224552538
75% Corpus,2,symmetric,0.61,0.32219154431616326
75% Corpus,2,symmetric,0.9099999999999999,0.3360690516586604
75% Corpus,2,symmetric,symmetric,0.31067394154320405
75% Corpus,2,asymmetric,0.01,0.3430719246652698
75% Corpus,2,asymmetric,0.31,0.36105761890159693
75% Corpus,2,asymmetric,0.61,0.3600979938902198
75% Corpus,2,asymmetric,0.9099999999999999,0.36466421960457684
75% Corpus,2,asymmetric,symmetric,0.3576262800511749
75% Corpus,3,0.01,0.01,0.35507750506983665
75% Corpus,3,0.01,0.31,0.36004202684672776
75% Corpus,3,0.01,0.61,0.35381293075292236
75% Corpus,3,0.01,0.9099999999999999,0.34794852084208516
75% Corpus,3,0.01,symmetric,0.3610410576276932
75% Corpus,3,0.31,0.01,0.34693555248996183
75% Corpus,3,0.31,0.31,0.35584401295892126
75% Corpus,3,0.31,0.61,0.3491725473534217
75% Corpus,3,0.31,0.9099999999999999,0.36530815892142177
75% Corpus,3,0.31,symmetric,0.35584401295892126
75% Corpus,3,0.61,0.01,0.35564117719102956
75% Corpus,3,0.61,0.31,0.3442388583827883
75% Corpus,3,0.61,0.61,0.36822553480112025
75% Corpus,3,0.61,0.9099999999999999,0.36376915256607983
75% Corpus,3,0.61,symmetric,0.3442388583827883
75% Corpus,3,0.9099999999999999,0.01,0.3609082872750708
75% Corpus,3,0.9099999999999999,0.31,0.3751100967459255
75% Corpus,3,0.9099999999999999,0.61,0.35259129513825727
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3525912951382573
75% Corpus,3,0.9099999999999999,symmetric,0.3751100967459255
75% Corpus,3,symmetric,0.01,0.35682016643855236
75% Corpus,3,symmetric,0.31,0.3630224209704583
75% Corpus,3,symmetric,0.61,0.3600955802804544
75% Corpus,3,symmetric,0.9099999999999999,0.3474737577387526
75% Corpus,3,symmetric,symmetric,0.3630224209704583
75% Corpus,3,asymmetric,0.01,0.37657444133268186
75% Corpus,3,asymmetric,0.31,0.3460509644216368
75% Corpus,3,asymmetric,0.61,0.35605083032909873
75% Corpus,3,asymmetric,0.9099999999999999,0.36842572915442623
75% Corpus,3,asymmetric,symmetric,0.342262012808419
75% Corpus,4,0.01,0.01,0.331427175994682
