project,topics,alpha,beta,coherence
bondora,8,asymmetric,symmetric,0.40
compass,5,symmetric,0.31,0.33
datacass,3,0.9099999999999999,0.31,0.49
fab,10,0.9099999999999999,0.31,0.37
is,2,asymmetric,0.31,0.39
mdl,8,0.61,0.01,0.32
mobile,3,0.61,0.61,0.68
stl,2,0.01,0.01,0.23
apstud,3,asymmetric,0.9099999999999999,0.5
dnn,2,asymmetric,0.31,0.51
mesos,5,asymmetric,0.61,0.37
mule,6,0.9099999999999999,0.31,0.43
nexus,7,0.31,0.61,0.47
timob,10,0.9099999999999999,0.31,0.56
tistud,9,0.9099999999999999,0.9099999999999999,0.63
xd,2,asymmetric,symmetric,0.47
