Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.35042380620679336
75% Corpus,2,0.01,0.31,0.35042380620679336
75% Corpus,2,0.01,0.61,0.35042380620679336
75% Corpus,2,0.01,0.9099999999999999,0.35042380620679336
75% Corpus,2,0.01,symmetric,0.35042380620679336
75% Corpus,2,0.31,0.01,0.35042380620679336
75% Corpus,2,0.31,0.31,0.35042380620679336
75% Corpus,2,0.31,0.61,0.35042380620679336
75% Corpus,2,0.31,0.9099999999999999,0.35042380620679336
75% Corpus,2,0.31,symmetric,0.35042380620679336
75% Corpus,2,0.61,0.01,0.3296240885880061
75% Corpus,2,0.61,0.31,0.3296240885880061
75% Corpus,2,0.61,0.61,0.32962408858800607
75% Corpus,2,0.61,0.9099999999999999,0.3099537939849711
75% Corpus,2,0.61,symmetric,0.32962408858800607
75% Corpus,2,0.9099999999999999,0.01,0.3296240885880061
75% Corpus,2,0.9099999999999999,0.31,0.3099537939849711
75% Corpus,2,0.9099999999999999,0.61,0.3099537939849711
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.30995379398497114
75% Corpus,2,0.9099999999999999,symmetric,0.3099537939849711
75% Corpus,2,symmetric,0.01,0.3296240885880061
75% Corpus,2,symmetric,0.31,0.32962408858800607
75% Corpus,2,symmetric,0.61,0.32962408858800607
75% Corpus,2,symmetric,0.9099999999999999,0.3296240885880062
75% Corpus,2,symmetric,symmetric,0.32962408858800607
75% Corpus,2,asymmetric,0.01,0.357518123199012
75% Corpus,2,asymmetric,0.31,0.357518123199012
75% Corpus,2,asymmetric,0.61,0.24884814391952803
75% Corpus,2,asymmetric,0.9099999999999999,0.24056145285134983
75% Corpus,2,asymmetric,symmetric,0.33723680047712573
75% Corpus,3,0.01,0.01,0.3141458072678724
75% Corpus,3,0.01,0.31,0.3041849906426731
75% Corpus,3,0.01,0.61,0.28570219561042226
75% Corpus,3,0.01,0.9099999999999999,0.29617631773778436
75% Corpus,3,0.01,symmetric,0.29640320629474853
75% Corpus,3,0.31,0.01,0.3141546343773958
75% Corpus,3,0.31,0.31,0.2860054188795244
75% Corpus,3,0.31,0.61,0.2930077369914326
75% Corpus,3,0.31,0.9099999999999999,0.29986876171621535
75% Corpus,3,0.31,symmetric,0.2860054188795244
75% Corpus,3,0.61,0.01,0.30725562487239716
75% Corpus,3,0.61,0.31,0.3014606632783247
75% Corpus,3,0.61,0.61,0.3077335713834673
75% Corpus,3,0.61,0.9099999999999999,0.3119597464614399
75% Corpus,3,0.61,symmetric,0.3014606632783247
75% Corpus,3,0.9099999999999999,0.01,0.2844352270251757
75% Corpus,3,0.9099999999999999,0.31,0.2790900047391016
75% Corpus,3,0.9099999999999999,0.61,0.2858519299391861
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.31903852620766154
