Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5925374209912851
75% Corpus,2,0.01,0.31,0.613169106751559
75% Corpus,2,0.01,0.61,0.6211983946829618
75% Corpus,2,0.01,0.9099999999999999,0.5941554848452553
75% Corpus,2,0.01,symmetric,0.6211983946829618
75% Corpus,2,0.31,0.01,0.5966203577329704
75% Corpus,2,0.31,0.31,0.5984939654114717
75% Corpus,2,0.31,0.61,0.6047532363554915
75% Corpus,2,0.31,0.9099999999999999,0.5948326719872497
75% Corpus,2,0.31,symmetric,0.5954293719320001
75% Corpus,2,0.61,0.01,0.6084520682494139
75% Corpus,2,0.61,0.31,0.6091965938778958
75% Corpus,2,0.61,0.61,0.616453337335857
75% Corpus,2,0.61,0.9099999999999999,0.5970786014502336
75% Corpus,2,0.61,symmetric,0.6230585106527937
75% Corpus,2,0.9099999999999999,0.01,0.6164533373358569
75% Corpus,2,0.9099999999999999,0.31,0.6241144004332762
75% Corpus,2,0.9099999999999999,0.61,0.6264510296983585
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.5960943133038118
75% Corpus,2,0.9099999999999999,symmetric,0.6264510296983585
75% Corpus,2,symmetric,0.01,0.589867387368614
75% Corpus,2,symmetric,0.31,0.6084520682494139
75% Corpus,2,symmetric,0.61,0.6084520682494139
75% Corpus,2,symmetric,0.9099999999999999,0.6230585106527935
75% Corpus,2,symmetric,symmetric,0.6084520682494139
75% Corpus,2,asymmetric,0.01,0.6156408906453268
75% Corpus,2,asymmetric,0.31,0.6114058920019487
75% Corpus,2,asymmetric,0.61,0.629167119430527
75% Corpus,2,asymmetric,0.9099999999999999,0.6039246932477056
75% Corpus,2,asymmetric,symmetric,0.629167119430527
75% Corpus,3,0.01,0.01,0.6629605939055415
75% Corpus,3,0.01,0.31,0.6305692938715578
75% Corpus,3,0.01,0.61,0.639367486545821
75% Corpus,3,0.01,0.9099999999999999,0.6140882111863627
75% Corpus,3,0.01,symmetric,0.6425044095242157
75% Corpus,3,0.31,0.01,0.6453564102480437
75% Corpus,3,0.31,0.31,0.6281035254554138
75% Corpus,3,0.31,0.61,0.564639301560239
75% Corpus,3,0.31,0.9099999999999999,0.5675854360983702
75% Corpus,3,0.31,symmetric,0.6281035254554138
75% Corpus,3,0.61,0.01,0.6374941644324172
75% Corpus,3,0.61,0.31,0.6335983855395572
75% Corpus,3,0.61,0.61,0.6780530074232148
75% Corpus,3,0.61,0.9099999999999999,0.6780530074232148
75% Corpus,3,0.61,symmetric,0.6335983855395572
75% Corpus,3,0.9099999999999999,0.01,0.6338035992563076
75% Corpus,3,0.9099999999999999,0.31,0.6303875311419219
75% Corpus,3,0.9099999999999999,0.61,0.638643376641913
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.638643376641913
75% Corpus,3,0.9099999999999999,symmetric,0.6303875311419219
75% Corpus,3,symmetric,0.01,0.6483217623345289
75% Corpus,3,symmetric,0.31,0.6590931154835441
75% Corpus,3,symmetric,0.61,0.5437049926390863
75% Corpus,3,symmetric,0.9099999999999999,0.564021812013754
75% Corpus,3,symmetric,symmetric,0.6503448066282256
75% Corpus,3,asymmetric,0.01,0.6590762067247719
75% Corpus,3,asymmetric,0.31,0.6357607042741881
75% Corpus,3,asymmetric,0.61,0.6197002777035553
75% Corpus,3,asymmetric,0.9099999999999999,0.6090338554452487
75% Corpus,3,asymmetric,symmetric,0.6300138068947544
75% Corpus,4,0.01,0.01,0.6463055217604463
75% Corpus,4,0.01,0.31,0.6162281107439747
75% Corpus,4,0.01,0.61,0.6250841368789564
75% Corpus,4,0.01,0.9099999999999999,0.6341630664697336
75% Corpus,4,0.01,symmetric,0.6105848034208323
75% Corpus,4,0.31,0.01,0.6371764200962433
75% Corpus,4,0.31,0.31,0.6481041810959471
75% Corpus,4,0.31,0.61,0.6551485599445722
75% Corpus,4,0.31,0.9099999999999999,0.6246187635033945
75% Corpus,4,0.31,symmetric,0.6405884313791096
75% Corpus,4,0.61,0.01,0.6275562481813428
75% Corpus,4,0.61,0.31,0.6107282988230731
75% Corpus,4,0.61,0.61,0.6070840055630962
75% Corpus,4,0.61,0.9099999999999999,0.6098312801831404
75% Corpus,4,0.61,symmetric,0.6107282988230731
75% Corpus,4,0.9099999999999999,0.01,0.6487309508690985
75% Corpus,4,0.9099999999999999,0.31,0.6284899597565555
75% Corpus,4,0.9099999999999999,0.61,0.6284899597565556
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.6109652824919202
75% Corpus,4,0.9099999999999999,symmetric,0.6326952967194777
75% Corpus,4,symmetric,0.01,0.6423699084732792
75% Corpus,4,symmetric,0.31,0.6447057029705383
75% Corpus,4,symmetric,0.61,0.6267517709645078
75% Corpus,4,symmetric,0.9099999999999999,0.6274338121860278
75% Corpus,4,symmetric,symmetric,0.6571587867289054
75% Corpus,4,asymmetric,0.01,0.6185120981461167
75% Corpus,4,asymmetric,0.31,0.610956588064836
75% Corpus,4,asymmetric,0.61,0.6100936781301505
75% Corpus,4,asymmetric,0.9099999999999999,0.6224784999954442
75% Corpus,4,asymmetric,symmetric,0.612771631886556
75% Corpus,5,0.01,0.01,0.5894246204246308
75% Corpus,5,0.01,0.31,0.6098800330324883
75% Corpus,5,0.01,0.61,0.5631063745444368
75% Corpus,5,0.01,0.9099999999999999,0.5853029218850327
75% Corpus,5,0.01,symmetric,0.6003168150696565
75% Corpus,5,0.31,0.01,0.5863748440038927
75% Corpus,5,0.31,0.31,0.5843884749073697
75% Corpus,5,0.31,0.61,0.5777849728631749
75% Corpus,5,0.31,0.9099999999999999,0.5828671369944339
75% Corpus,5,0.31,symmetric,0.5838668185879892
75% Corpus,5,0.61,0.01,0.6097585454544424
75% Corpus,5,0.61,0.31,0.603585139200123
75% Corpus,5,0.61,0.61,0.604461637277397
75% Corpus,5,0.61,0.9099999999999999,0.6152379640586926
75% Corpus,5,0.61,symmetric,0.5977811302704248
75% Corpus,5,0.9099999999999999,0.01,0.6298805797313907
75% Corpus,5,0.9099999999999999,0.31,0.6234134367636581
75% Corpus,5,0.9099999999999999,0.61,0.621084533627316
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.60401309721715
75% Corpus,5,0.9099999999999999,symmetric,0.6318468450144051
75% Corpus,5,symmetric,0.01,0.6025184379753142
75% Corpus,5,symmetric,0.31,0.5939321015025321
75% Corpus,5,symmetric,0.61,0.6036425592221419
75% Corpus,5,symmetric,0.9099999999999999,0.6392490549988208
75% Corpus,5,symmetric,symmetric,0.5967588983555585
75% Corpus,5,asymmetric,0.01,0.5829562871747218
75% Corpus,5,asymmetric,0.31,0.5884038473957747
75% Corpus,5,asymmetric,0.61,0.5928059813748957
75% Corpus,5,asymmetric,0.9099999999999999,0.6067619310086859
75% Corpus,5,asymmetric,symmetric,0.581941688406127
75% Corpus,6,0.01,0.01,0.6018471874100447
75% Corpus,6,0.01,0.31,0.5864299605172056
75% Corpus,6,0.01,0.61,0.602878353010391
75% Corpus,6,0.01,0.9099999999999999,0.601012393838749
75% Corpus,6,0.01,symmetric,0.6097705661965142
75% Corpus,6,0.31,0.01,0.5947156455970996
75% Corpus,6,0.31,0.31,0.5856540052013898
75% Corpus,6,0.31,0.61,0.5771187580740196
75% Corpus,6,0.31,0.9099999999999999,0.6064487242398952
75% Corpus,6,0.31,symmetric,0.5856181647677626
75% Corpus,6,0.61,0.01,0.5936260610351268
75% Corpus,6,0.61,0.31,0.6176658997773026
75% Corpus,6,0.61,0.61,0.6088070398679793
75% Corpus,6,0.61,0.9099999999999999,0.6135631363558404
75% Corpus,6,0.61,symmetric,0.5986322432777645
75% Corpus,6,0.9099999999999999,0.01,0.626873369418845
75% Corpus,6,0.9099999999999999,0.31,0.6287333891587429
75% Corpus,6,0.9099999999999999,0.61,0.6205821331046055
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.6108265701861902
75% Corpus,6,0.9099999999999999,symmetric,0.6361634300751512
75% Corpus,6,symmetric,0.01,0.5741809338394955
75% Corpus,6,symmetric,0.31,0.6086614811456709
75% Corpus,6,symmetric,0.61,0.5974060857985651
75% Corpus,6,symmetric,0.9099999999999999,0.6159095246109292
75% Corpus,6,symmetric,symmetric,0.5662608904604226
75% Corpus,6,asymmetric,0.01,0.613275433371876
75% Corpus,6,asymmetric,0.31,0.5829995005927184
75% Corpus,6,asymmetric,0.61,0.6065905101649085
75% Corpus,6,asymmetric,0.9099999999999999,0.5813690034385538
75% Corpus,6,asymmetric,symmetric,0.5932209211835694
75% Corpus,7,0.01,0.01,0.6039642437646152
75% Corpus,7,0.01,0.31,0.6146118062270857
75% Corpus,7,0.01,0.61,0.6110361419761661
75% Corpus,7,0.01,0.9099999999999999,0.5888751805790949
75% Corpus,7,0.01,symmetric,0.6085790982031484
75% Corpus,7,0.31,0.01,0.5638472862996828
75% Corpus,7,0.31,0.31,0.571301444555856
75% Corpus,7,0.31,0.61,0.58946859213888
75% Corpus,7,0.31,0.9099999999999999,0.5871417072993094
75% Corpus,7,0.31,symmetric,0.5732933510429515
75% Corpus,7,0.61,0.01,0.5753135924119358
75% Corpus,7,0.61,0.31,0.5991022651826662
75% Corpus,7,0.61,0.61,0.5860532895145613
75% Corpus,7,0.61,0.9099999999999999,0.5890901119847209
75% Corpus,7,0.61,symmetric,0.5842321712548685
75% Corpus,7,0.9099999999999999,0.01,0.6166809425663339
75% Corpus,7,0.9099999999999999,0.31,0.6149205588081853
75% Corpus,7,0.9099999999999999,0.61,0.618741168400553
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.6026913550514896
75% Corpus,7,0.9099999999999999,symmetric,0.6054637414703433
75% Corpus,7,symmetric,0.01,0.5885110811265822
75% Corpus,7,symmetric,0.31,0.6022334005561037
75% Corpus,7,symmetric,0.61,0.5882396102001763
75% Corpus,7,symmetric,0.9099999999999999,0.5922620408375358
75% Corpus,7,symmetric,symmetric,0.6058457786530417
75% Corpus,7,asymmetric,0.01,0.5898958368614825
75% Corpus,7,asymmetric,0.31,0.5833584744740675
75% Corpus,7,asymmetric,0.61,0.5825754428594772
75% Corpus,7,asymmetric,0.9099999999999999,0.6333963953558648
75% Corpus,7,asymmetric,symmetric,0.583429535517869
75% Corpus,8,0.01,0.01,0.5944612951000776
75% Corpus,8,0.01,0.31,0.6041577936076298
75% Corpus,8,0.01,0.61,0.6274916920437525
75% Corpus,8,0.01,0.9099999999999999,0.6001855075116317
75% Corpus,8,0.01,symmetric,0.6017133661091525
75% Corpus,8,0.31,0.01,0.574741174565631
75% Corpus,8,0.31,0.31,0.5895416022153489
75% Corpus,8,0.31,0.61,0.5876113004660943
75% Corpus,8,0.31,0.9099999999999999,0.6214168708441368
75% Corpus,8,0.31,symmetric,0.5770037093611962
75% Corpus,8,0.61,0.01,0.6150704741349462
75% Corpus,8,0.61,0.31,0.6234376141432768
75% Corpus,8,0.61,0.61,0.6126868448430164
75% Corpus,8,0.61,0.9099999999999999,0.6241903542549487
75% Corpus,8,0.61,symmetric,0.6219442752039746
75% Corpus,8,0.9099999999999999,0.01,0.630750609243734
75% Corpus,8,0.9099999999999999,0.31,0.6295106867894926
75% Corpus,8,0.9099999999999999,0.61,0.6328018795361545
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.6290449837023171
75% Corpus,8,0.9099999999999999,symmetric,0.6332255439844949
75% Corpus,8,symmetric,0.01,0.5858108772620547
75% Corpus,8,symmetric,0.31,0.5915068871999017
75% Corpus,8,symmetric,0.61,0.6063999302618603
75% Corpus,8,symmetric,0.9099999999999999,0.6037684071517317
75% Corpus,8,symmetric,symmetric,0.5903770202455421
75% Corpus,8,asymmetric,0.01,0.557811020981306
75% Corpus,8,asymmetric,0.31,0.5827995163516775
75% Corpus,8,asymmetric,0.61,0.6079654767810612
75% Corpus,8,asymmetric,0.9099999999999999,0.6106359792712938
75% Corpus,8,asymmetric,symmetric,0.5680967248193196
75% Corpus,9,0.01,0.01,0.6045038147599976
75% Corpus,9,0.01,0.31,0.5914490411497955
75% Corpus,9,0.01,0.61,0.5876980457275444
75% Corpus,9,0.01,0.9099999999999999,0.570804582463047
75% Corpus,9,0.01,symmetric,0.5979809843242436
75% Corpus,9,0.31,0.01,0.585608300590961
75% Corpus,9,0.31,0.31,0.5835850109687025
75% Corpus,9,0.31,0.61,0.5894433157746423
75% Corpus,9,0.31,0.9099999999999999,0.5923476168105444
75% Corpus,9,0.31,symmetric,0.5923877138349329
75% Corpus,9,0.61,0.01,0.6047675637701304
75% Corpus,9,0.61,0.31,0.629296051479667
75% Corpus,9,0.61,0.61,0.6246157566746532
75% Corpus,9,0.61,0.9099999999999999,0.6135024340139115
75% Corpus,9,0.61,symmetric,0.6200821543981243
75% Corpus,9,0.9099999999999999,0.01,0.6225486818876487
75% Corpus,9,0.9099999999999999,0.31,0.6349289732968971
75% Corpus,9,0.9099999999999999,0.61,0.6303071586148591
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.6267016016286271
75% Corpus,9,0.9099999999999999,symmetric,0.6232248752224463
75% Corpus,9,symmetric,0.01,0.5982574632128509
75% Corpus,9,symmetric,0.31,0.6018370362818742
75% Corpus,9,symmetric,0.61,0.604092892515336
75% Corpus,9,symmetric,0.9099999999999999,0.5926093953145822
75% Corpus,9,symmetric,symmetric,0.5858647990453094
75% Corpus,9,asymmetric,0.01,0.587447193430242
75% Corpus,9,asymmetric,0.31,0.5774690460289699
75% Corpus,9,asymmetric,0.61,0.5700195786928801
75% Corpus,9,asymmetric,0.9099999999999999,0.5713135156569636
75% Corpus,9,asymmetric,symmetric,0.5778077546909013
75% Corpus,10,0.01,0.01,0.5760105603058859
75% Corpus,10,0.01,0.31,0.597679051588657
75% Corpus,10,0.01,0.61,0.5959409654732676
75% Corpus,10,0.01,0.9099999999999999,0.6139330349335207
75% Corpus,10,0.01,symmetric,0.5730899922845112
75% Corpus,10,0.31,0.01,0.5919854354792987
75% Corpus,10,0.31,0.31,0.6053156278880948
75% Corpus,10,0.31,0.61,0.6092121788100947
75% Corpus,10,0.31,0.9099999999999999,0.5943520426581982
75% Corpus,10,0.31,symmetric,0.6016424136702214
75% Corpus,10,0.61,0.01,0.623878547942019
75% Corpus,10,0.61,0.31,0.6286736145814504
75% Corpus,10,0.61,0.61,0.6343634897409018
75% Corpus,10,0.61,0.9099999999999999,0.6313508244005185
75% Corpus,10,0.61,symmetric,0.6201653735185082
75% Corpus,10,0.9099999999999999,0.01,0.6470826229369817
75% Corpus,10,0.9099999999999999,0.31,0.6581657651314022
75% Corpus,10,0.9099999999999999,0.61,0.6567229357348386
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.6322734625193908
75% Corpus,10,0.9099999999999999,symmetric,0.6451644171437254
75% Corpus,10,symmetric,0.01,0.5919351850629763
75% Corpus,10,symmetric,0.31,0.5935312460416646
75% Corpus,10,symmetric,0.61,0.5879099671758771
75% Corpus,10,symmetric,0.9099999999999999,0.599082575544539
75% Corpus,10,symmetric,symmetric,0.586819257072486
75% Corpus,10,asymmetric,0.01,0.5639364152632458
75% Corpus,10,asymmetric,0.31,0.6047655439389323
75% Corpus,10,asymmetric,0.61,0.6086233301344025
75% Corpus,10,asymmetric,0.9099999999999999,0.6015015292027731
75% Corpus,10,asymmetric,symmetric,0.6099434242591535
100% Corpus,2,0.01,0.01,0.5771588746926432
100% Corpus,2,0.01,0.31,0.5789472644238924
100% Corpus,2,0.01,0.61,0.568008527553276
100% Corpus,2,0.01,0.9099999999999999,0.5456891145165138
100% Corpus,2,0.01,symmetric,0.5771588746926432
100% Corpus,2,0.31,0.01,0.5786265405712214
100% Corpus,2,0.31,0.31,0.5920487485177268
100% Corpus,2,0.31,0.61,0.5920487485177268
100% Corpus,2,0.31,0.9099999999999999,0.5895672436470705
100% Corpus,2,0.31,symmetric,0.5920487485177268
100% Corpus,2,0.61,0.01,0.568000087556976
100% Corpus,2,0.61,0.31,0.568000087556976
100% Corpus,2,0.61,0.61,0.5849164848665922
100% Corpus,2,0.61,0.9099999999999999,0.5849164848665922
100% Corpus,2,0.61,symmetric,0.5849164848665923
100% Corpus,2,0.9099999999999999,0.01,0.568000087556976
100% Corpus,2,0.9099999999999999,0.31,0.5849164848665923
100% Corpus,2,0.9099999999999999,0.61,0.6155269945082011
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.6155269945082011
100% Corpus,2,0.9099999999999999,symmetric,0.6184001729669164
100% Corpus,2,symmetric,0.01,0.5786265405712214
100% Corpus,2,symmetric,0.31,0.5744537890982826
100% Corpus,2,symmetric,0.61,0.5744537890982825
100% Corpus,2,symmetric,0.9099999999999999,0.5744537890982824
100% Corpus,2,symmetric,symmetric,0.5744537890982826
100% Corpus,2,asymmetric,0.01,0.5775783150235287
100% Corpus,2,asymmetric,0.31,0.5896162476820805
100% Corpus,2,asymmetric,0.61,0.6021655213783992
100% Corpus,2,asymmetric,0.9099999999999999,0.5986687803555903
100% Corpus,2,asymmetric,symmetric,0.61903584255278
100% Corpus,3,0.01,0.01,0.6474879724512737
100% Corpus,3,0.01,0.31,0.6418084655324602
100% Corpus,3,0.01,0.61,0.6473947816477583
100% Corpus,3,0.01,0.9099999999999999,0.5809170306620867
100% Corpus,3,0.01,symmetric,0.6539865272632226
100% Corpus,3,0.31,0.01,0.6210489500701728
100% Corpus,3,0.31,0.31,0.6205280674279379
100% Corpus,3,0.31,0.61,0.5955644608379692
100% Corpus,3,0.31,0.9099999999999999,0.642947838185275
100% Corpus,3,0.31,symmetric,0.6205280674279379
100% Corpus,3,0.61,0.01,0.6365038352377007
100% Corpus,3,0.61,0.31,0.6365038352377007
100% Corpus,3,0.61,0.61,0.6365038352377007
100% Corpus,3,0.61,0.9099999999999999,0.6474123670860915
100% Corpus,3,0.61,symmetric,0.6365038352377007
100% Corpus,3,0.9099999999999999,0.01,0.6365038352377007
100% Corpus,3,0.9099999999999999,0.31,0.6474123670860915
100% Corpus,3,0.9099999999999999,0.61,0.6474123670860915
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.6340735536195607
100% Corpus,3,0.9099999999999999,symmetric,0.6474123670860915
100% Corpus,3,symmetric,0.01,0.6588168672579063
100% Corpus,3,symmetric,0.31,0.6637830469105764
100% Corpus,3,symmetric,0.61,0.5481423386009393
100% Corpus,3,symmetric,0.9099999999999999,0.6303606638204944
100% Corpus,3,symmetric,symmetric,0.662689892282812
100% Corpus,3,asymmetric,0.01,0.6260131171713185
100% Corpus,3,asymmetric,0.31,0.6250625477454853
100% Corpus,3,asymmetric,0.61,0.575826483832551
100% Corpus,3,asymmetric,0.9099999999999999,0.5601899887268167
100% Corpus,3,asymmetric,symmetric,0.617515435808705
100% Corpus,4,0.01,0.01,0.6489708618327239
100% Corpus,4,0.01,0.31,0.6344800038955356
100% Corpus,4,0.01,0.61,0.6382913888683752
100% Corpus,4,0.01,0.9099999999999999,0.6520966155268977
100% Corpus,4,0.01,symmetric,0.6391868249890371
100% Corpus,4,0.31,0.01,0.662223450867899
100% Corpus,4,0.31,0.31,0.6453714355489686
100% Corpus,4,0.31,0.61,0.6456470436956385
100% Corpus,4,0.31,0.9099999999999999,0.6482227826140844
100% Corpus,4,0.31,symmetric,0.6348588680815279
100% Corpus,4,0.61,0.01,0.6274183800848527
100% Corpus,4,0.61,0.31,0.6339902915144298
100% Corpus,4,0.61,0.61,0.6412015988811084
100% Corpus,4,0.61,0.9099999999999999,0.6520538618197196
100% Corpus,4,0.61,symmetric,0.6339902915144298
100% Corpus,4,0.9099999999999999,0.01,0.6310465465840598
100% Corpus,4,0.9099999999999999,0.31,0.6347638428844163
100% Corpus,4,0.9099999999999999,0.61,0.6460376595691315
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.644038382808777
100% Corpus,4,0.9099999999999999,symmetric,0.6356585579487342
100% Corpus,4,symmetric,0.01,0.6418012233703523
