Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2960963275470384
75% Corpus,2,0.01,0.31,0.2960963275470384
75% Corpus,2,0.01,0.61,0.3107284702077995
75% Corpus,2,0.01,0.9099999999999999,0.2960963275470384
75% Corpus,2,0.01,symmetric,0.3107284702077995
75% Corpus,2,0.31,0.01,0.3017156080639095
75% Corpus,2,0.31,0.31,0.2960963275470384
75% Corpus,2,0.31,0.61,0.3107284702077994
75% Corpus,2,0.31,0.9099999999999999,0.3136791430399889
75% Corpus,2,0.31,symmetric,0.2960963275470384
75% Corpus,2,0.61,0.01,0.3017156080639095
75% Corpus,2,0.61,0.31,0.3017156080639095
75% Corpus,2,0.61,0.61,0.3017156080639095
75% Corpus,2,0.61,0.9099999999999999,0.3017156080639095
75% Corpus,2,0.61,symmetric,0.3017156080639095
75% Corpus,2,0.9099999999999999,0.01,0.3017156080639095
75% Corpus,2,0.9099999999999999,0.31,0.3017156080639095
75% Corpus,2,0.9099999999999999,0.61,0.3017156080639095
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3017156080639095
75% Corpus,2,0.9099999999999999,symmetric,0.3017156080639095
75% Corpus,2,symmetric,0.01,0.3017156080639095
75% Corpus,2,symmetric,0.31,0.3017156080639095
75% Corpus,2,symmetric,0.61,0.3017156080639095
75% Corpus,2,symmetric,0.9099999999999999,0.3017156080639095
75% Corpus,2,symmetric,symmetric,0.3017156080639095
75% Corpus,2,asymmetric,0.01,0.32982212081119566
75% Corpus,2,asymmetric,0.31,0.32982212081119566
75% Corpus,2,asymmetric,0.61,0.3315287573544139
75% Corpus,2,asymmetric,0.9099999999999999,0.32063274944631126
75% Corpus,2,asymmetric,symmetric,0.3315287573544139
75% Corpus,3,0.01,0.01,0.331798820064544
75% Corpus,3,0.01,0.31,0.3258911703990784
75% Corpus,3,0.01,0.61,0.30838446158482397
75% Corpus,3,0.01,0.9099999999999999,0.30321016901422343
75% Corpus,3,0.01,symmetric,0.3258911703990785
75% Corpus,3,0.31,0.01,0.3347806601079464
75% Corpus,3,0.31,0.31,0.331122892691134
75% Corpus,3,0.31,0.61,0.3292778078886821
75% Corpus,3,0.31,0.9099999999999999,0.33109307256076287
75% Corpus,3,0.31,symmetric,0.331122892691134
75% Corpus,3,0.61,0.01,0.33776643792530575
75% Corpus,3,0.61,0.31,0.32621628497044014
