Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3714319552966122
75% Corpus,2,0.01,0.31,0.3732485174851859
75% Corpus,2,0.01,0.61,0.37324851748518595
75% Corpus,2,0.01,0.9099999999999999,0.37324851748518595
75% Corpus,2,0.01,symmetric,0.38552724299038754
75% Corpus,2,0.31,0.01,0.40836073150817465
75% Corpus,2,0.31,0.31,0.38799020841182874
75% Corpus,2,0.31,0.61,0.38374346178367225
75% Corpus,2,0.31,0.9099999999999999,0.3732485174851859
75% Corpus,2,0.31,symmetric,0.38374346178367236
75% Corpus,2,0.61,0.01,0.40949396352306017
75% Corpus,2,0.61,0.31,0.3997019797360834
75% Corpus,2,0.61,0.61,0.3997019797360834
75% Corpus,2,0.61,0.9099999999999999,0.38552724299038754
75% Corpus,2,0.61,symmetric,0.4083607315081746
75% Corpus,2,0.9099999999999999,0.01,0.40949396352306017
75% Corpus,2,0.9099999999999999,0.31,0.40949396352306017
75% Corpus,2,0.9099999999999999,0.61,0.40836073150817453
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.36736324496215156
75% Corpus,2,0.9099999999999999,symmetric,0.4094939635230601
75% Corpus,2,symmetric,0.01,0.38799020841182874
75% Corpus,2,symmetric,0.31,0.38799020841182874
75% Corpus,2,symmetric,0.61,0.38799020841182874
75% Corpus,2,symmetric,0.9099999999999999,0.3965872117848681
75% Corpus,2,symmetric,symmetric,0.38799020841182874
75% Corpus,2,asymmetric,0.01,0.40949396352306017
75% Corpus,2,asymmetric,0.31,0.3814257398217139
75% Corpus,2,asymmetric,0.61,0.37175613348680797
75% Corpus,2,asymmetric,0.9099999999999999,0.4012180621350428
75% Corpus,2,asymmetric,symmetric,0.371756133486808
75% Corpus,3,0.01,0.01,0.3776481282916651
75% Corpus,3,0.01,0.31,0.37558444436538935
75% Corpus,3,0.01,0.61,0.3755844443653893
75% Corpus,3,0.01,0.9099999999999999,0.36472366183721955
75% Corpus,3,0.01,symmetric,0.37558444436538935
75% Corpus,3,0.31,0.01,0.38856136933302204
75% Corpus,3,0.31,0.31,0.38856136933302204
75% Corpus,3,0.31,0.61,0.37906916655760375
75% Corpus,3,0.31,0.9099999999999999,0.37906916655760375
75% Corpus,3,0.31,symmetric,0.38856136933302204
75% Corpus,3,0.61,0.01,0.40435089256560125
