Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4012525426351161
75% Corpus,2,0.01,0.31,0.3987437108635826
75% Corpus,2,0.01,0.61,0.38261467233782487
75% Corpus,2,0.01,0.9099999999999999,0.3834952464230339
75% Corpus,2,0.01,symmetric,0.38331775162517845
75% Corpus,2,0.31,0.01,0.3877417739449661
75% Corpus,2,0.31,0.31,0.38774177394496606
75% Corpus,2,0.31,0.61,0.3870071700719955
75% Corpus,2,0.31,0.9099999999999999,0.3870071700719955
75% Corpus,2,0.31,symmetric,0.4012525426351161
75% Corpus,2,0.61,0.01,0.4018431465762051
75% Corpus,2,0.61,0.31,0.4018431465762051
75% Corpus,2,0.61,0.61,0.4011085427032345
75% Corpus,2,0.61,0.9099999999999999,0.3870071700719955
75% Corpus,2,0.61,symmetric,0.3870849099602147
75% Corpus,2,0.9099999999999999,0.01,0.4018431465762051
75% Corpus,2,0.9099999999999999,0.31,0.3870849099602147
75% Corpus,2,0.9099999999999999,0.61,0.3870849099602147
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3870849099602148
75% Corpus,2,0.9099999999999999,symmetric,0.3870849099602147
75% Corpus,2,symmetric,0.01,0.4018431465762051
75% Corpus,2,symmetric,0.31,0.387741773944966
75% Corpus,2,symmetric,0.61,0.38700717007199537
75% Corpus,2,symmetric,0.9099999999999999,0.38700717007199537
75% Corpus,2,symmetric,symmetric,0.38700717007199537
75% Corpus,2,asymmetric,0.01,0.40766563444131065
75% Corpus,2,asymmetric,0.31,0.42584311956233667
75% Corpus,2,asymmetric,0.61,0.43575672210851074
75% Corpus,2,asymmetric,0.9099999999999999,0.34745433976756934
75% Corpus,2,asymmetric,symmetric,0.43575672210851074
75% Corpus,3,0.01,0.01,0.3889965602908716
75% Corpus,3,0.01,0.31,0.38492825985626206
75% Corpus,3,0.01,0.61,0.38425592134266545
75% Corpus,3,0.01,0.9099999999999999,0.38628347999340445
75% Corpus,3,0.01,symmetric,0.38492825985626206
75% Corpus,3,0.31,0.01,0.4059037533082361
75% Corpus,3,0.31,0.31,0.4272171321186531
75% Corpus,3,0.31,0.61,0.4124799648969714
75% Corpus,3,0.31,0.9099999999999999,0.4107382825434889
75% Corpus,3,0.31,symmetric,0.4272171321186531
75% Corpus,3,0.61,0.01,0.4055513183958925
75% Corpus,3,0.61,0.31,0.38394186616827497
75% Corpus,3,0.61,0.61,0.40078418510031755
75% Corpus,3,0.61,0.9099999999999999,0.40894028647928654
75% Corpus,3,0.61,symmetric,0.3794270791309325
75% Corpus,3,0.9099999999999999,0.01,0.37934627100004703
75% Corpus,3,0.9099999999999999,0.31,0.38469149695273436
75% Corpus,3,0.9099999999999999,0.61,0.40718551444569134
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.43605699992120983
75% Corpus,3,0.9099999999999999,symmetric,0.3896063131777108
75% Corpus,3,symmetric,0.01,0.4059037533082361
75% Corpus,3,symmetric,0.31,0.42285505986837485
75% Corpus,3,symmetric,0.61,0.40952474242163656
