Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4861765705381933
75% Corpus,2,0.01,0.31,0.5090715044087023
75% Corpus,2,0.01,0.61,0.5062577716694465
75% Corpus,2,0.01,0.9099999999999999,0.49682528341301757
75% Corpus,2,0.01,symmetric,0.5090715044087023
75% Corpus,2,0.31,0.01,0.47539747675857524
75% Corpus,2,0.31,0.31,0.4753974767585753
75% Corpus,2,0.31,0.61,0.49966402760557804
75% Corpus,2,0.31,0.9099999999999999,0.49966402760557804
75% Corpus,2,0.31,symmetric,0.48604684180047664
75% Corpus,2,0.61,0.01,0.4783198905899061
75% Corpus,2,0.61,0.31,0.4779144785686686
75% Corpus,2,0.61,0.61,0.4779144785686685
75% Corpus,2,0.61,0.9099999999999999,0.49010385584777
75% Corpus,2,0.61,symmetric,0.4779144785686686
75% Corpus,2,0.9099999999999999,0.01,0.4719844309256481
75% Corpus,2,0.9099999999999999,0.31,0.4697895684894394
75% Corpus,2,0.9099999999999999,0.61,0.4602362117864681
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4717762095123126
75% Corpus,2,0.9099999999999999,symmetric,0.4697895684894395
75% Corpus,2,symmetric,0.01,0.4918784593429569
75% Corpus,2,symmetric,0.31,0.49010385584777005
75% Corpus,2,symmetric,0.61,0.49010385584777
75% Corpus,2,symmetric,0.9099999999999999,0.5035988809843225
75% Corpus,2,symmetric,symmetric,0.49010385584777
75% Corpus,2,asymmetric,0.01,0.4879283528814573
75% Corpus,2,asymmetric,0.31,0.4879283528814574
75% Corpus,2,asymmetric,0.61,0.4991824820292686
75% Corpus,2,asymmetric,0.9099999999999999,0.4991824820292686
75% Corpus,2,asymmetric,symmetric,0.5172426650620876
75% Corpus,3,0.01,0.01,0.5380532989309076
75% Corpus,3,0.01,0.31,0.5337115527127354
75% Corpus,3,0.01,0.61,0.5431012719571683
75% Corpus,3,0.01,0.9099999999999999,0.5223302270559274
75% Corpus,3,0.01,symmetric,0.5491203163211078
75% Corpus,3,0.31,0.01,0.5480589080651909
75% Corpus,3,0.31,0.31,0.5491203163211078
75% Corpus,3,0.31,0.61,0.5353359100822002
75% Corpus,3,0.31,0.9099999999999999,0.5270351817794858
75% Corpus,3,0.31,symmetric,0.5491203163211078
75% Corpus,3,0.61,0.01,0.5348006961431105
75% Corpus,3,0.61,0.31,0.5376120447633203
75% Corpus,3,0.61,0.61,0.538274414450564
75% Corpus,3,0.61,0.9099999999999999,0.538274414450564
75% Corpus,3,0.61,symmetric,0.5376120447633203
75% Corpus,3,0.9099999999999999,0.01,0.5359854917685803
75% Corpus,3,0.9099999999999999,0.31,0.5359854917685802
75% Corpus,3,0.9099999999999999,0.61,0.5242314905429332
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.518138888979384
75% Corpus,3,0.9099999999999999,symmetric,0.5359854917685802
75% Corpus,3,symmetric,0.01,0.5480589080651908
75% Corpus,3,symmetric,0.31,0.5491203163211078
75% Corpus,3,symmetric,0.61,0.5489592470260657
75% Corpus,3,symmetric,0.9099999999999999,0.5270351817794858
75% Corpus,3,symmetric,symmetric,0.5480589080651908
75% Corpus,3,asymmetric,0.01,0.5051155533415898
75% Corpus,3,asymmetric,0.31,0.5033757678870744
75% Corpus,3,asymmetric,0.61,0.502663026523231
75% Corpus,3,asymmetric,0.9099999999999999,0.47438202686191033
75% Corpus,3,asymmetric,symmetric,0.5026630265232311
75% Corpus,4,0.01,0.01,0.573665902714199
75% Corpus,4,0.01,0.31,0.5619218030187646
75% Corpus,4,0.01,0.61,0.5648530140131911
75% Corpus,4,0.01,0.9099999999999999,0.5630544737575652
75% Corpus,4,0.01,symmetric,0.5619218030187646
75% Corpus,4,0.31,0.01,0.5642210923296287
75% Corpus,4,0.31,0.31,0.5695880826227616
75% Corpus,4,0.31,0.61,0.5695880826227616
75% Corpus,4,0.31,0.9099999999999999,0.5695880826227616
75% Corpus,4,0.31,symmetric,0.5695880826227616
75% Corpus,4,0.61,0.01,0.57189787920559
75% Corpus,4,0.61,0.31,0.57189787920559
75% Corpus,4,0.61,0.61,0.57189787920559
75% Corpus,4,0.61,0.9099999999999999,0.5817482706063046
75% Corpus,4,0.61,symmetric,0.57189787920559
75% Corpus,4,0.9099999999999999,0.01,0.5712505146924669
75% Corpus,4,0.9099999999999999,0.31,0.5740889693181489
75% Corpus,4,0.9099999999999999,0.61,0.5643790786290516
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5643790786290515
75% Corpus,4,0.9099999999999999,symmetric,0.5712232575237576
75% Corpus,4,symmetric,0.01,0.5456027473017463
75% Corpus,4,symmetric,0.31,0.5661155530489492
75% Corpus,4,symmetric,0.61,0.5695880826227616
75% Corpus,4,symmetric,0.9099999999999999,0.555185732924219
75% Corpus,4,symmetric,symmetric,0.5661155530489492
75% Corpus,4,asymmetric,0.01,0.5561478562750676
75% Corpus,4,asymmetric,0.31,0.5630117622439971
75% Corpus,4,asymmetric,0.61,0.5419296410273085
75% Corpus,4,asymmetric,0.9099999999999999,0.5324477060546668
75% Corpus,4,asymmetric,symmetric,0.5498958742791633
75% Corpus,5,0.01,0.01,0.5985486616900181
75% Corpus,5,0.01,0.31,0.5820513996578913
75% Corpus,5,0.01,0.61,0.5857406603625703
75% Corpus,5,0.01,0.9099999999999999,0.5770249806265287
75% Corpus,5,0.01,symmetric,0.591481612420667
75% Corpus,5,0.31,0.01,0.6063316765998815
75% Corpus,5,0.31,0.31,0.6121173899914931
75% Corpus,5,0.31,0.61,0.6130134263102394
75% Corpus,5,0.31,0.9099999999999999,0.5894577230772271
75% Corpus,5,0.31,symmetric,0.6048447976458372
75% Corpus,5,0.61,0.01,0.6033729156029602
75% Corpus,5,0.61,0.31,0.6054270099053418
75% Corpus,5,0.61,0.61,0.6042935386593452
75% Corpus,5,0.61,0.9099999999999999,0.5872736225094518
75% Corpus,5,0.61,symmetric,0.6046575556372807
75% Corpus,5,0.9099999999999999,0.01,0.5982926795056465
75% Corpus,5,0.9099999999999999,0.31,0.6100227836655073
75% Corpus,5,0.9099999999999999,0.61,0.5996511569984208
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5740365879059072
75% Corpus,5,0.9099999999999999,symmetric,0.6100227836655073
75% Corpus,5,symmetric,0.01,0.6073235366281724
75% Corpus,5,symmetric,0.31,0.591265492864588
75% Corpus,5,symmetric,0.61,0.5870603484618757
75% Corpus,5,symmetric,0.9099999999999999,0.5916892116870139
75% Corpus,5,symmetric,symmetric,0.5888049546557594
75% Corpus,5,asymmetric,0.01,0.5888242053550637
75% Corpus,5,asymmetric,0.31,0.5764020588505103
75% Corpus,5,asymmetric,0.61,0.573612533017733
75% Corpus,5,asymmetric,0.9099999999999999,0.5568514953957695
75% Corpus,5,asymmetric,symmetric,0.5748918675541866
75% Corpus,6,0.01,0.01,0.5856462167141748
75% Corpus,6,0.01,0.31,0.5938199942086554
75% Corpus,6,0.01,0.61,0.5911389093579473
75% Corpus,6,0.01,0.9099999999999999,0.5884479535677651
75% Corpus,6,0.01,symmetric,0.5942717238523665
75% Corpus,6,0.31,0.01,0.5944950734057816
75% Corpus,6,0.31,0.31,0.5754900238967849
75% Corpus,6,0.31,0.61,0.5867950633140012
75% Corpus,6,0.31,0.9099999999999999,0.5870018392776304
75% Corpus,6,0.31,symmetric,0.5910184594157314
75% Corpus,6,0.61,0.01,0.5913142866205878
75% Corpus,6,0.61,0.31,0.5856794503773388
75% Corpus,6,0.61,0.61,0.5729985669459369
75% Corpus,6,0.61,0.9099999999999999,0.5518599316741342
75% Corpus,6,0.61,symmetric,0.575187566202208
75% Corpus,6,0.9099999999999999,0.01,0.5813410124656441
75% Corpus,6,0.9099999999999999,0.31,0.5817043342226921
75% Corpus,6,0.9099999999999999,0.61,0.5603645966805115
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5676690311014884
75% Corpus,6,0.9099999999999999,symmetric,0.5811179061809271
75% Corpus,6,symmetric,0.01,0.5827863685687144
75% Corpus,6,symmetric,0.31,0.5893576938891275
75% Corpus,6,symmetric,0.61,0.5858376967548521
75% Corpus,6,symmetric,0.9099999999999999,0.5919555295207943
75% Corpus,6,symmetric,symmetric,0.5883571505168171
75% Corpus,6,asymmetric,0.01,0.5913131783176429
75% Corpus,6,asymmetric,0.31,0.6028426253200508
75% Corpus,6,asymmetric,0.61,0.5921783849435056
75% Corpus,6,asymmetric,0.9099999999999999,0.5872406740513051
75% Corpus,6,asymmetric,symmetric,0.599941571761308
75% Corpus,7,0.01,0.01,0.5812868085669484
75% Corpus,7,0.01,0.31,0.577476994289052
75% Corpus,7,0.01,0.61,0.5723188607594828
75% Corpus,7,0.01,0.9099999999999999,0.5674383345682751
75% Corpus,7,0.01,symmetric,0.571422964597229
75% Corpus,7,0.31,0.01,0.5786804576628777
75% Corpus,7,0.31,0.31,0.5754826508726484
75% Corpus,7,0.31,0.61,0.5849405867675083
75% Corpus,7,0.31,0.9099999999999999,0.575237666661624
75% Corpus,7,0.31,symmetric,0.5830495426086673
75% Corpus,7,0.61,0.01,0.57786346940683
75% Corpus,7,0.61,0.31,0.5693018776232551
75% Corpus,7,0.61,0.61,0.5898226424303685
75% Corpus,7,0.61,0.9099999999999999,0.5687949484181906
75% Corpus,7,0.61,symmetric,0.5666845874494288
75% Corpus,7,0.9099999999999999,0.01,0.58413242836376
75% Corpus,7,0.9099999999999999,0.31,0.5877104719777553
75% Corpus,7,0.9099999999999999,0.61,0.5913712318791075
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.6032528424827135
75% Corpus,7,0.9099999999999999,symmetric,0.5878020375757289
75% Corpus,7,symmetric,0.01,0.557933065437282
75% Corpus,7,symmetric,0.31,0.5567413255326986
75% Corpus,7,symmetric,0.61,0.5745226450424707
75% Corpus,7,symmetric,0.9099999999999999,0.5687524148784315
