Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3851827133290537
75% Corpus,2,0.01,0.31,0.40297960849475845
75% Corpus,2,0.01,0.61,0.39483718810812496
75% Corpus,2,0.01,0.9099999999999999,0.4117588549677717
75% Corpus,2,0.01,symmetric,0.39483718810812496
75% Corpus,2,0.31,0.01,0.3948656651438227
75% Corpus,2,0.31,0.31,0.38267876740761936
75% Corpus,2,0.31,0.61,0.38267876740761936
75% Corpus,2,0.31,0.9099999999999999,0.3826787674076193
75% Corpus,2,0.31,symmetric,0.3933401652338807
75% Corpus,2,0.61,0.01,0.3989490822278633
75% Corpus,2,0.61,0.31,0.380734525296186
75% Corpus,2,0.61,0.61,0.380734525296186
75% Corpus,2,0.61,0.9099999999999999,0.4025922841217152
75% Corpus,2,0.61,symmetric,0.3807345252961859
75% Corpus,2,0.9099999999999999,0.01,0.3959253188075438
75% Corpus,2,0.9099999999999999,0.31,0.4025922841217152
75% Corpus,2,0.9099999999999999,0.61,0.4025922841217152
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.38481249382592986
75% Corpus,2,0.9099999999999999,symmetric,0.4025922841217152
75% Corpus,2,symmetric,0.01,0.4030394456655494
75% Corpus,2,symmetric,0.31,0.380734525296186
75% Corpus,2,symmetric,0.61,0.38657877605971913
75% Corpus,2,symmetric,0.9099999999999999,0.4025922841217152
75% Corpus,2,symmetric,symmetric,0.380734525296186
75% Corpus,2,asymmetric,0.01,0.4441952497545636
75% Corpus,2,asymmetric,0.31,0.44623091906404
75% Corpus,2,asymmetric,0.61,0.4462309190640401
75% Corpus,2,asymmetric,0.9099999999999999,0.4462309190640401
75% Corpus,2,asymmetric,symmetric,0.44623091906404005
75% Corpus,3,0.01,0.01,0.4092834841034138
75% Corpus,3,0.01,0.31,0.39273179467557356
75% Corpus,3,0.01,0.61,0.3746544233068591
75% Corpus,3,0.01,0.9099999999999999,0.3818746080577589
75% Corpus,3,0.01,symmetric,0.39273179467557356
75% Corpus,3,0.31,0.01,0.40720753468558635
75% Corpus,3,0.31,0.31,0.4315630305513591
75% Corpus,3,0.31,0.61,0.3780396771702625
75% Corpus,3,0.31,0.9099999999999999,0.38280277856295486
75% Corpus,3,0.31,symmetric,0.4315630305513591
75% Corpus,3,0.61,0.01,0.42573050618156527
75% Corpus,3,0.61,0.31,0.4076079798931655
75% Corpus,3,0.61,0.61,0.4146785628681566
75% Corpus,3,0.61,0.9099999999999999,0.41348100567799184
75% Corpus,3,0.61,symmetric,0.4076079798931655
75% Corpus,3,0.9099999999999999,0.01,0.43972236136331827
75% Corpus,3,0.9099999999999999,0.31,0.43504479309763383
75% Corpus,3,0.9099999999999999,0.61,0.4242244803080986
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.43340725932871393
75% Corpus,3,0.9099999999999999,symmetric,0.43504479309763383
75% Corpus,3,symmetric,0.01,0.39626671680716835
75% Corpus,3,symmetric,0.31,0.42642297196726076
75% Corpus,3,symmetric,0.61,0.4156611528257186
75% Corpus,3,symmetric,0.9099999999999999,0.381874608057759
75% Corpus,3,symmetric,symmetric,0.39626671680716835
75% Corpus,3,asymmetric,0.01,0.4059552749856614
75% Corpus,3,asymmetric,0.31,0.4034501898444221
75% Corpus,3,asymmetric,0.61,0.39782770165240217
75% Corpus,3,asymmetric,0.9099999999999999,0.40781156154272485
75% Corpus,3,asymmetric,symmetric,0.40925660554711635
75% Corpus,4,0.01,0.01,0.40168189960287376
75% Corpus,4,0.01,0.31,0.4050092504315914
75% Corpus,4,0.01,0.61,0.39594539901434295
75% Corpus,4,0.01,0.9099999999999999,0.42297616083828354
75% Corpus,4,0.01,symmetric,0.40867946647294023
75% Corpus,4,0.31,0.01,0.4064217432020957
75% Corpus,4,0.31,0.31,0.41371573601833833
75% Corpus,4,0.31,0.61,0.41371573601833833
75% Corpus,4,0.31,0.9099999999999999,0.39906770740729147
75% Corpus,4,0.31,symmetric,0.41371573601833833
75% Corpus,4,0.61,0.01,0.41637885793016083
75% Corpus,4,0.61,0.31,0.3935170371601338
75% Corpus,4,0.61,0.61,0.3866308165909909
75% Corpus,4,0.61,0.9099999999999999,0.3902426712505714
75% Corpus,4,0.61,symmetric,0.4090287936964073
75% Corpus,4,0.9099999999999999,0.01,0.40596461653160315
75% Corpus,4,0.9099999999999999,0.31,0.40661832366801376
75% Corpus,4,0.9099999999999999,0.61,0.42494669980920996
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4145706082622779
75% Corpus,4,0.9099999999999999,symmetric,0.40661832366801376
75% Corpus,4,symmetric,0.01,0.4064217432020958
75% Corpus,4,symmetric,0.31,0.4162313589198006
75% Corpus,4,symmetric,0.61,0.4027933349006064
75% Corpus,4,symmetric,0.9099999999999999,0.38855796474425713
75% Corpus,4,symmetric,symmetric,0.41623135891980056
75% Corpus,4,asymmetric,0.01,0.41899581725872875
75% Corpus,4,asymmetric,0.31,0.4146359815603464
75% Corpus,4,asymmetric,0.61,0.4012594891410972
75% Corpus,4,asymmetric,0.9099999999999999,0.4060087102636498
75% Corpus,4,asymmetric,symmetric,0.4146359815603464
75% Corpus,5,0.01,0.01,0.37576334865275623
75% Corpus,5,0.01,0.31,0.4196385625878151
75% Corpus,5,0.01,0.61,0.42009040244184276
75% Corpus,5,0.01,0.9099999999999999,0.40882150351006724
75% Corpus,5,0.01,symmetric,0.38189468692165585
75% Corpus,5,0.31,0.01,0.37920220423143874
75% Corpus,5,0.31,0.31,0.39275908491347267
75% Corpus,5,0.31,0.61,0.3956549489441238
75% Corpus,5,0.31,0.9099999999999999,0.38871998249609374
75% Corpus,5,0.31,symmetric,0.3918423559479185
75% Corpus,5,0.61,0.01,0.3898265899025972
75% Corpus,5,0.61,0.31,0.3788445434705167
75% Corpus,5,0.61,0.61,0.3932062288362907
75% Corpus,5,0.61,0.9099999999999999,0.40374165576418164
75% Corpus,5,0.61,symmetric,0.3691997927982865
75% Corpus,5,0.9099999999999999,0.01,0.38457329440218285
75% Corpus,5,0.9099999999999999,0.31,0.3968982828156592
75% Corpus,5,0.9099999999999999,0.61,0.41942354919390246
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.41232693186220565
75% Corpus,5,0.9099999999999999,symmetric,0.3968982828156592
75% Corpus,5,symmetric,0.01,0.40546349117207
75% Corpus,5,symmetric,0.31,0.38167446231392327
75% Corpus,5,symmetric,0.61,0.407976260325783
75% Corpus,5,symmetric,0.9099999999999999,0.41409211355521675
75% Corpus,5,symmetric,symmetric,0.38167446231392327
75% Corpus,5,asymmetric,0.01,0.3919999572195533
75% Corpus,5,asymmetric,0.31,0.41333875762327194
75% Corpus,5,asymmetric,0.61,0.41146991830833235
75% Corpus,5,asymmetric,0.9099999999999999,0.42432547281761696
75% Corpus,5,asymmetric,symmetric,0.40196843875180843
75% Corpus,6,0.01,0.01,0.41471965860409304
75% Corpus,6,0.01,0.31,0.4002265637476952
75% Corpus,6,0.01,0.61,0.4024054553465632
75% Corpus,6,0.01,0.9099999999999999,0.42055106484167193
75% Corpus,6,0.01,symmetric,0.3995099293129778
75% Corpus,6,0.31,0.01,0.40759026361006284
75% Corpus,6,0.31,0.31,0.41627415497660086
75% Corpus,6,0.31,0.61,0.41896067965975686
75% Corpus,6,0.31,0.9099999999999999,0.4020382731535872
75% Corpus,6,0.31,symmetric,0.4091025696301617
75% Corpus,6,0.61,0.01,0.4000923500420847
75% Corpus,6,0.61,0.31,0.42354371604892743
75% Corpus,6,0.61,0.61,0.42214462558154525
75% Corpus,6,0.61,0.9099999999999999,0.419485973602537
75% Corpus,6,0.61,symmetric,0.4129015203832616
75% Corpus,6,0.9099999999999999,0.01,0.411243758152031
75% Corpus,6,0.9099999999999999,0.31,0.4053191540489689
75% Corpus,6,0.9099999999999999,0.61,0.40383218279118543
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4073990527654019
75% Corpus,6,0.9099999999999999,symmetric,0.39703776001976615
75% Corpus,6,symmetric,0.01,0.4226518292989405
75% Corpus,6,symmetric,0.31,0.422644156212852
75% Corpus,6,symmetric,0.61,0.3933253437089024
75% Corpus,6,symmetric,0.9099999999999999,0.42093075753958925
75% Corpus,6,symmetric,symmetric,0.4092329967831347
75% Corpus,6,asymmetric,0.01,0.3960533992776702
75% Corpus,6,asymmetric,0.31,0.38929403336847274
75% Corpus,6,asymmetric,0.61,0.3974402990942725
75% Corpus,6,asymmetric,0.9099999999999999,0.41754326520486423
75% Corpus,6,asymmetric,symmetric,0.40176700723270714
75% Corpus,7,0.01,0.01,0.39284196159844476
75% Corpus,7,0.01,0.31,0.41859969450006446
75% Corpus,7,0.01,0.61,0.42130345245678874
75% Corpus,7,0.01,0.9099999999999999,0.42250081393430783
75% Corpus,7,0.01,symmetric,0.4128518062579432
75% Corpus,7,0.31,0.01,0.4155656640686641
75% Corpus,7,0.31,0.31,0.3912413579697232
75% Corpus,7,0.31,0.61,0.40754266462481464
75% Corpus,7,0.31,0.9099999999999999,0.40605987211964933
75% Corpus,7,0.31,symmetric,0.4067656701842521
75% Corpus,7,0.61,0.01,0.42193166900343165
75% Corpus,7,0.61,0.31,0.4171878249297856
75% Corpus,7,0.61,0.61,0.4175327924415138
75% Corpus,7,0.61,0.9099999999999999,0.4243940124694911
75% Corpus,7,0.61,symmetric,0.4182208335558422
75% Corpus,7,0.9099999999999999,0.01,0.4132167398318888
75% Corpus,7,0.9099999999999999,0.31,0.42002191050963666
75% Corpus,7,0.9099999999999999,0.61,0.40513010775142594
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3968235823360785
75% Corpus,7,0.9099999999999999,symmetric,0.41526684373249373
75% Corpus,7,symmetric,0.01,0.4083521447471355
75% Corpus,7,symmetric,0.31,0.40468846489002047
75% Corpus,7,symmetric,0.61,0.4073092739123104
75% Corpus,7,symmetric,0.9099999999999999,0.41060852962368993
75% Corpus,7,symmetric,symmetric,0.40857112897803266
75% Corpus,7,asymmetric,0.01,0.3670511239442315
75% Corpus,7,asymmetric,0.31,0.37402680727333854
75% Corpus,7,asymmetric,0.61,0.3909926029497882
75% Corpus,7,asymmetric,0.9099999999999999,0.406196524920827
75% Corpus,7,asymmetric,symmetric,0.3667037418635041
75% Corpus,8,0.01,0.01,0.3842907612496672
75% Corpus,8,0.01,0.31,0.4065640194007509
75% Corpus,8,0.01,0.61,0.38574968964562095
75% Corpus,8,0.01,0.9099999999999999,0.41260465001148006
75% Corpus,8,0.01,symmetric,0.3667738072475555
75% Corpus,8,0.31,0.01,0.3947087720191971
75% Corpus,8,0.31,0.31,0.3950146543783131
75% Corpus,8,0.31,0.61,0.3932293944402957
75% Corpus,8,0.31,0.9099999999999999,0.384047371276293
75% Corpus,8,0.31,symmetric,0.377950406850577
75% Corpus,8,0.61,0.01,0.39344440827014293
75% Corpus,8,0.61,0.31,0.3984244466363772
75% Corpus,8,0.61,0.61,0.40587734140059156
75% Corpus,8,0.61,0.9099999999999999,0.4105717298130125
75% Corpus,8,0.61,symmetric,0.3960047023665436
75% Corpus,8,0.9099999999999999,0.01,0.39111233204365103
75% Corpus,8,0.9099999999999999,0.31,0.4049362429687839
75% Corpus,8,0.9099999999999999,0.61,0.39352363264988477
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3867719063924134
75% Corpus,8,0.9099999999999999,symmetric,0.39137303206987684
75% Corpus,8,symmetric,0.01,0.3837191998290088
75% Corpus,8,symmetric,0.31,0.37164005092764724
75% Corpus,8,symmetric,0.61,0.39314400299152874
75% Corpus,8,symmetric,0.9099999999999999,0.4052155175459764
75% Corpus,8,symmetric,symmetric,0.38264061820915485
75% Corpus,8,asymmetric,0.01,0.37117645950105627
75% Corpus,8,asymmetric,0.31,0.38363264116376844
75% Corpus,8,asymmetric,0.61,0.39160938982738985
75% Corpus,8,asymmetric,0.9099999999999999,0.3663993864373606
