,assignee.name,components,created,creator.name,description,fixVersions,issuetype.name,issuetype.subtask,priority.name,reporter.name,resolution.description,resolution.name,resolutiondate,status.id,status.name,status.statusCategory.name,summary,updated,versions,watches.watchCount,key,storypoints,project,sprint
0,,"[{u'id': u'12786', u'self': u'https://jira.spring.io/rest/api/2/component/12786', u'description': u'Server and Module property configuration', u'name': u'Configuration'}]",2016-03-31T22:35:55.000+0000,thomas.risberg,"The MapReduce samples should have ""yarn.resourcemanager.scheduler.address"" since it might be needed in a multi node production cluster.",[],Improvement,False,Minor,thomas.risberg,,,,10000,To Do,To Do,"Add ""yarn.resourcemanager.scheduler.address"" to mapreduce samples",2016-03-31T22:35:55.000+0000,[],1,XD-3753,2.0,xd,
1,,"[{u'id': u'12784', u'self': u'https://jira.spring.io/rest/api/2/component/12784', u'description': u'Admin User Interface', u'name': u'UI'}]",2016-03-14T18:09:51.000+0000,manju4ever,"When i use the admin-ui web portal which runs on port 9393, there is a load timeout issue by require.js, failing to load the login screen. Could the team please look into this issue ASAP, or give me some other alternative !sping-ui-issue.png|thumbnail!",[],Bug,False,Trivial,manju4ever,,,,10000,To Do,To Do,Admin UI login Page failing to load due to require.js timeout - FE,2016-03-14T18:09:51.000+0000,"[{u'archived': False, u'description': u'1.3.0 GA Release', u'self': u'https://jira.spring.io/rest/api/2/version/15101', u'releaseDate': u'2015-11-19', u'released': True, u'id': u'15101', u'name': u'1.3 GA'}]",1,XD-3752,20.0,xd,
2,jvalkeal,[],2016-03-03T13:22:14.000+0000,jvalkeal,"In a case where reactor's ringbuffer is full and thus handling backpressure by blocking `onNext`, shutdown phase where `onComplete` is send will cause a deadlock.

This is shown by a thread dump during a shutdown. This will basically break further deployments for this stream in distributed mode while single node will show more errors during undeployment.

{code}
""pool-7-thread-1"" #58 prio=5 os_prio=0 tid=0x979fe800 nid=0x54de runnable [0x986ad000]
   java.lang.Thread.State: TIMED_WAITING (parking)
	at sun.misc.Unsafe.park(Native Method)
	at java.util.concurrent.locks.LockSupport.parkNanos(LockSupport.java:338)
	at reactor.jarjar.com.lmax.disruptor.SingleProducerSequencer.next(SingleProducerSequencer.java:122)
	at reactor.jarjar.com.lmax.disruptor.SingleProducerSequencer.next(SingleProducerSequencer.java:97)
	at reactor.jarjar.com.lmax.disruptor.RingBuffer.next(RingBuffer.java:246)
	at reactor.core.processor.util.RingBufferSubscriberUtils.onNext(RingBufferSubscriberUtils.java:30)
	at reactor.core.processor.RingBufferProcessor.onNext(RingBufferProcessor.java:575)
{code}

{code}
""main-EventThread"" #19 daemon prio=5 os_prio=0 tid=0x9b93a400 nid=0x54b1 runnable [0x9aefe000]
   java.lang.Thread.State: TIMED_WAITING (parking)
	at sun.misc.Unsafe.park(Native Method)
	at java.util.concurrent.locks.LockSupport.parkNanos(LockSupport.java:338)
	at reactor.jarjar.com.lmax.disruptor.SingleProducerSequencer.next(SingleProducerSequencer.java:122)
	at reactor.jarjar.com.lmax.disruptor.SingleProducerSequencer.next(SingleProducerSequencer.java:97)
	at reactor.jarjar.com.lmax.disruptor.RingBuffer.next(RingBuffer.java:246)
	at reactor.core.processor.util.RingBufferSubscriberUtils.onComplete(RingBufferSubscriberUtils.java:54)
	at reactor.core.processor.RingBufferProcessor.onComplete(RingBufferProcessor.java:585)
	at org.springframework.xd.greenplum.gpfdist.GPFDistMessageHandler.doStop(GPFDistMessageHandler.java:170)
{code}

I've been crafting workaround for this by trying to wait reactor stream/buffer to get drained by gpdb and finally as last resort, forcing processor in reactor to shutdown.",[],Bug,False,Major,jvalkeal,,,,10006,In PR,In Progress,gpfdist may fail to shutdown with backlog,2016-03-03T18:41:19.000+0000,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",1,XD-3751,5.0,xd,
3,,[],2016-02-29T10:00:18.000+0000,aliiqbal,"if we put a custom module static properties in `/config/modules/job/module-name/module-name.properties` then we cannot completely remove the module -  you can delete module but you cannot upload new jar with the same name as it gives an error  - there is module already with the same name.

May be important to note that we had a zookeeper data corruption on which support asked us to upgrade. We couldn't upgrade just yet, so I cleaned up zookeeper and recreated all streams/job from original scripts. 

I have observed this behavior after the corruption - I cannot tell for sure if the behavior was there or not before the corruption. In case it is not easily reproducible then it could be environment specific issue.

I may update JIRA once i get time to try it on my local distributed mode.
",[],Bug,False,Major,aliiqbal,,,,10000,To Do,To Do,Cant completely remove custom module after putting properties in /config/modules/job/xx/xx.properties,2016-03-13T10:24:15.000+0000,"[{u'archived': False, u'name': u'1.2.1', u'self': u'https://jira.spring.io/rest/api/2/version/15199', u'releaseDate': u'2015-07-27', u'released': True, u'id': u'15199', u'description': u'First 1.2 maintenance release'}]",1,XD-3750,1.0,xd,
4,,[],2016-02-26T15:57:18.000+0000,grussell,"Custom conversion is broken.

If the custom {{MimeType}} does not match any of those in {{MessageConverterUtils.getJavaTypeForContentType}} then the channel configuration fails with

{code}
			throw new ModuleConfigurationException(""Content type is not supported for "" +
					channel.getComponentName() + ""Type="" + contentType);
{code}

The code needs to consult custom converters to see what {{MimeType}} (s) they support - and the output Java type.


See http://stackoverflow.com/questions/35639975/adding-a-custom-type-converter-to-spring-xd",[],Bug,False,Major,grussell,,,,10000,To Do,To Do,Provisioning of Custom input/output Converters is Broken,2016-02-26T16:08:03.000+0000,[],1,XD-3749,5.0,xd,
5,grussell,[],2016-02-24T10:51:02.000+0000,dgarcia,"If I try to use <int:message-history/> when developing a Spring XD module, it fails when try to export the JMX bean. I've seen that the naming strategy used is org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy

The stackTrace:
{code}
2016-02-24T10:40:39+0000 1.3.1.RELEASE ERROR DeploymentsPathChildrenCache-0 container.DeploymentListener - Exception deploying module
org.springframework.jmx.export.UnableToRegisterMBeanException: Unable to register MBean [org.springframework.integration.history.MessageHistoryConfigurer@24902b5f] with key 'messageHistoryConfigurer'; nested exception is javax.management.MalformedObjectNameException: Key properties cannot be empty
	at org.springframework.integration.monitor.IntegrationMBeanExporter.registerBeanInstance(IntegrationMBeanExporter.java:375) ~[spring-integration-jmx-4.2.5.RELEASE.jar:na]
	at org.springframework.integration.monitor.IntegrationMBeanExporter.afterSingletonsInstantiated(IntegrationMBeanExporter.java:288) ~[spring-integration-jmx-4.2.5.RELEASE.jar:na]
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:792) ~[spring-beans-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:839) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:538) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:686) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:320) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:139) ~[spring-boot-1.2.3.RELEASE.jar:1.2.3.RELEASE]
	at org.springframework.xd.module.core.SimpleModule.initialize(SimpleModule.java:213) ~[spring-xd-module-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.module.ModuleDeployer.doDeploy(ModuleDeployer.java:217) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.module.ModuleDeployer.deploy(ModuleDeployer.java:200) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.deployModule(DeploymentListener.java:365) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.deployStreamModule(DeploymentListener.java:334) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.onChildAdded(DeploymentListener.java:181) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.xd.dirt.server.container.DeploymentListener.childEvent(DeploymentListener.java:149) [spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92) [curator-framework-2.6.0.jar:na]
	at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297) [guava-16.0.1.jar:na]
	at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83) [curator-framework-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35) [curator-recipes-2.6.0.jar:na]
	at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762) [curator-recipes-2.6.0.jar:na]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511) [na:1.8.0_72]
	at java.util.concurrent.FutureTask.run(FutureTask.java:266) [na:1.8.0_72]
	at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:511) [na:1.8.0_72]
	at java.util.concurrent.FutureTask.run(FutureTask.java:266) [na:1.8.0_72]
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142) [na:1.8.0_72]
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617) [na:1.8.0_72]
	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_72]
Caused by: javax.management.MalformedObjectNameException: Key properties cannot be empty
	at javax.management.ObjectName.construct(ObjectName.java:483) ~[na:1.8.0_72]
	at javax.management.ObjectName.<init>(ObjectName.java:1382) ~[na:1.8.0_72]
	at javax.management.ObjectName.getInstance(ObjectName.java:1273) ~[na:1.8.0_72]
	at org.springframework.jmx.support.ObjectNameManager.getInstance(ObjectNameManager.java:62) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
	at org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy.getObjectName(ModuleObjectNamingStrategy.java:50) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
	at org.springframework.jmx.export.MBeanExporter.getObjectName(MBeanExporter.java:751) ~[spring-context-4.2.4.RELEASE.jar:4.2.4.RELEASE]
{code}","[{u'released': False, u'self': u'https://jira.spring.io/rest/api/2/version/15491', u'archived': False, u'name': u'1.3.2', u'id': u'15491'}]",Bug,False,Minor,dgarcia,,,,10006,In PR,In Progress,Unable to register the JMX bean MessageHistory from Spring Integration,2016-02-29T21:11:29.000+0000,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",2,XD-3748,1.0,xd,
6,,[],2016-02-23T18:31:37.000+0000,grussell,http://stackoverflow.com/questions/35563064/processing-messages-through-namedchannels-with-prefetch-1/35584333#35584333,"[{u'released': False, u'self': u'https://jira.spring.io/rest/api/2/version/15491', u'archived': False, u'name': u'1.3.2', u'id': u'15491'}]",Improvement,False,Minor,grussell,,,,10000,To Do,To Do,Rabbit Bus: Expose ChannelCacheSize on CachingConnectionFactory,2016-03-05T20:19:15.000+0000,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",1,XD-3747,1.0,xd,
7,grussell,[],2016-02-23T18:18:48.000+0000,mark.pollack,,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,mark.pollack,,Complete,2016-02-23T18:19:06.000+0000,10001,Done,In Progress,Update Spring Framework to 4.2.4,2016-02-23T18:19:09.000+0000,[],1,XD-3746,1.0,xd,
8,grussell,[],2016-02-23T18:04:09.000+0000,mark.pollack,Update to amqp-client 3.6.0 and spring-amqp 1.5.4,"[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,mark.pollack,,Complete,2016-02-23T18:04:41.000+0000,10001,Done,In Progress,"Update Spring-AMQP to 3.6, RabbitMQ Client to 1.5.4",2016-02-23T18:18:32.000+0000,[],1,XD-3745,1.0,xd,
9,grussell,"[{u'id': u'12731', u'self': u'https://jira.spring.io/rest/api/2/component/12731', u'description': u'Development of source, processing, sink module functionality', u'name': u'Stream Module'}]",2016-02-22T15:27:31.000+0000,grussell,"Related to XD-2567 which fixed this problem, but only in the bus.

{quote}
2016-02-19T18:25:24-0500 1.2.1.RELEASE WARN SimpleAsyncTaskExecutor-1 support.DefaultAmqpHeaderMapper - skipping header 'amqp_deliveryMode' since it is not of expected type [class org.springframework.amqp.core.MessageDeliveryMode], it is [class org.springframework.amqp.core.MessageDeliveryMode]
{quote}","[{u'archived': False, u'name': u'1.3.1', u'self': u'https://jira.spring.io/rest/api/2/version/15424', u'releaseDate': u'2016-02-24', u'released': True, u'id': u'15424'}]",Improvement,False,Minor,grussell,,Complete,2016-02-22T18:41:31.000+0000,10001,Done,In Progress,Suppress DeliveryMode Header in RabbitMQ Source,2016-02-23T17:56:59.000+0000,[],1,XD-3744,1.0,xd,Sprint 68
